Season,Team,Lg,Salary
2000-01,Philadelphia 76ers,NBA,"$936,000"
2001-02,Philadelphia 76ers,NBA,"$1,006,200"
2002-03,San Antonio Spurs,NBA,"$1,076,400"
2003-04,Golden State Warriors,NBA,"$3,000,000"
2004-05,Golden State Warriors,NBA,"$3,300,000"
2005-06,New Orleans/Oklahoma City Hornets,NBA,"$3,600,000"
2006-07,Atlanta Hawks,NBA,"$6,854,546"
2007-08,Atlanta Hawks,NBA,"$6,306,182"
2008-09,Atlanta Hawks,NBA,"$5,757,818"
2009-10,Golden State Warriors,NBA,"$5,209,454"
Career,(may be incomplete),,"$37,046,600"
