"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2009-10,29.0,ATL,NBA,39:52,8.0,18.0,3.0,7.0,6.0,14.0,8.0,11.0,1.0,5.0,5.0,6.0,2.0,1.0,4.0,6.0,24.0,16.9
2010-11,30.0,ATL,NBA,35:01,10.0,19.0,4.0,10.0,7.0,14.0,6.0,8.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,5.0,25.0,19.2
2012-13,32.0,LAC,NBA,36:00,6.0,14.0,2.0,6.0,5.0,11.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,15.0,13.3
2013-14,33.0,LAC,NBA,34:15,8.0,22.0,4.0,10.0,5.0,15.0,7.0,8.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,26.0,16.0
2014-15,34.0,LAC,NBA,35:57,8.0,22.0,3.0,9.0,6.0,14.0,6.0,7.0,2.0,4.0,5.0,5.0,6.0,1.0,6.0,5.0,21.0,13.5
2015-16,35.0,LAC,NBA,44:22,10.0,25.0,1.0,5.0,10.0,22.0,12.0,13.0,1.0,5.0,5.0,4.0,4.0,0.0,3.0,3.0,32.0,18.0
2016-17,36.0,LAC,NBA,32:05,9.0,16.0,5.0,7.0,7.0,12.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,5.0,25.0,18.6
2017-18,37.0,MIN,NBA,29:07,8.0,11.0,3.0,7.0,6.0,8.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,0.0,3.0,3.0,20.0,15.8
Career,,,,44:22,10.0,25.0,5.0,10.0,10.0,22.0,12.0,13.0,2.0,5.0,5.0,6.0,6.0,2.0,6.0,6.0,32.0,19.2
,,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,LAC,NBA,44:22,10.0,25.0,5.0,10.0,10.0,22.0,12.0,13.0,2.0,5.0,5.0,5.0,6.0,2.0,6.0,5.0,32.0,18.6
2 Seasons,,ATL,NBA,39:52,10.0,19.0,4.0,10.0,7.0,14.0,8.0,11.0,1.0,5.0,5.0,6.0,2.0,1.0,4.0,6.0,25.0,19.2
1 Season,,MIN,NBA,29:07,8.0,11.0,3.0,7.0,6.0,8.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,0.0,3.0,3.0,20.0,15.8
