Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2000-01,23,NJN,NBA,PF,68.0,68.0,2272.0,13.4,0.472,0.014,0.247,6.7,19.0,12.7,10.4,1.8,3.7,13.8,19.9,-0.4,2.5,2.1,0.044,-2.1,0.4,-1.7,0.2,ROY-2
2001-02,24,NJN,NBA,PF,73.0,73.0,2504.0,14.5,0.503,0.07,0.278,5.0,12.4,8.7,13.0,1.9,3.5,13.7,22.4,0.6,4.2,4.9,0.093,-1.0,1.4,0.4,1.5,
2002-03,25,NJN,NBA,PF,77.0,77.0,2628.0,16.9,0.511,0.04,0.362,7.1,20.7,13.9,13.0,2.0,2.0,13.3,24.8,1.8,5.3,7.1,0.129,-0.2,1.2,1.0,2.0,DPOY-12
2003-04,26,NJN,NBA,PF,65.0,62.0,2252.0,18.7,0.528,0.028,0.327,7.0,25.3,16.2,13.7,2.3,2.8,14.0,25.0,1.5,5.1,6.7,0.142,0.1,1.8,1.9,2.2,"DPOY-9,AS"
2004-05,27,DEN,NBA,PF,70.0,67.0,2272.0,17.5,0.521,0.013,0.34,7.4,18.4,13.0,13.0,2.3,2.6,12.5,23.4,1.7,3.6,5.3,0.111,0.1,1.0,1.1,1.8,
2005-06,28,DEN,NBA,PF,56.0,49.0,1546.0,16.7,0.533,0.037,0.283,7.1,19.4,13.3,8.8,1.4,2.5,9.6,21.6,1.8,2.0,3.8,0.117,-0.3,0.4,0.1,0.8,
2006-07,29,DEN,NBA,PF,2.0,2.0,63.0,5.4,0.446,0.063,0.75,10.9,24.7,17.9,2.4,0.0,0.0,19.0,17.9,-0.1,0.1,0.0,-0.036,-5.7,-1.6,-7.3,-0.1,
2007-08,30,DEN,NBA,PF,71.0,71.0,2159.0,14.7,0.553,0.016,0.303,5.4,17.5,11.6,6.3,2.0,2.8,10.3,17.4,2.0,3.0,5.0,0.111,-1.6,0.8,-0.8,0.6,
2008-09,31,DEN,NBA,PF,66.0,66.0,2111.0,13.6,0.523,0.059,0.304,4.6,16.8,10.9,10.0,2.3,2.7,12.4,17.7,0.9,3.1,4.0,0.09,-1.2,1.5,0.3,1.2,
2009-10,32,DEN,NBA,PF,58.0,58.0,1986.0,13.4,0.481,0.047,0.269,8.3,23.3,15.8,8.5,1.8,2.3,11.6,17.5,0.4,2.8,3.3,0.079,-1.4,0.5,-0.8,0.6,DPOY-17
2010-11,33,DEN,NBA,PF,48.0,48.0,1233.0,14.1,0.526,0.025,0.199,6.5,20.9,13.9,13.6,1.8,2.2,13.0,16.4,1.0,1.6,2.7,0.104,-0.8,1.7,0.9,0.9,DPOY-23
2011-12,34,LAC,NBA,PF,42.0,0.0,940.0,9.9,0.445,0.059,0.245,6.1,16.9,11.5,2.9,2.5,3.8,11.6,13.5,-0.3,1.2,0.9,0.048,-3.5,1.5,-2.1,0.0,
2012-13,35,NYK,NBA,C,18.0,11.0,431.0,13.9,0.583,0.0,0.43,8.9,17.1,12.9,2.9,2.0,3.4,12.6,13.7,0.6,0.6,1.2,0.128,-1.5,0.4,-1.1,0.1,
2013-14,36,NYK,NBA,PF,32.0,15.0,633.0,12.2,0.521,0.008,0.154,6.5,18.7,12.5,11.9,2.1,3.8,16.5,11.6,0.5,0.7,1.2,0.09,-2.2,2.1,0.0,0.3,
2014-15,37,MIL,NBA,PF,11.0,0.0,104.0,10.0,0.437,0.0,0.091,6.7,14.2,10.5,7.0,2.5,4.9,11.6,11.2,0.0,0.2,0.2,0.086,-4.4,2.2,-2.2,0.0,
15 Yrs,15 Yrs,15 Yrs,15 Yrs,,757.0,667.0,23134.0,15.0,0.513,0.035,0.299,6.5,19.1,12.8,10.6,2.0,2.8,12.7,20.2,11.9,36.1,48.0,0.1,-1.0,1.1,0.1,12.1,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,72.0,2506.0,15.0,0.513,0.035,0.299,6.5,19.1,12.8,10.6,2.0,2.8,12.7,20.2,1.3,3.9,5.2,0.1,-1.0,1.1,0.1,1.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN (7 Yrs),DEN (7 Yrs),DEN (7 Yrs),DEN (7 Yrs),,371.0,361.0,11370.0,15.0,0.523,0.032,0.295,6.5,19.2,13.0,9.8,2.0,2.5,11.6,19.1,7.6,16.3,23.9,0.101,-0.9,0.9,0.0,5.8,
NJN (4 Yrs),NJN (4 Yrs),NJN (4 Yrs),NJN (4 Yrs),,283.0,280.0,9656.0,15.9,0.505,0.039,0.308,6.5,19.2,12.8,12.6,2.0,3.0,13.7,23.1,3.5,17.2,20.7,0.103,-0.8,1.2,0.4,5.8,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,50.0,26.0,1064.0,12.9,0.55,0.005,0.273,7.5,18.1,12.6,8.3,2.1,3.6,14.8,12.4,1.1,1.3,2.3,0.106,-1.9,1.4,-0.5,0.4,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,42.0,0.0,940.0,9.9,0.445,0.059,0.245,6.1,16.9,11.5,2.9,2.5,3.8,11.6,13.5,-0.3,1.2,0.9,0.048,-3.5,1.5,-2.1,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,11.0,0.0,104.0,10.0,0.437,0.0,0.091,6.7,14.2,10.5,7.0,2.5,4.9,11.6,11.2,0.0,0.2,0.2,0.086,-4.4,2.2,-2.2,0.0,
