"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2000-01,19.0,UTA,NBA,24:46,4.0,8.0,1.0,3.0,4.0,6.0,4.0,6.0,2.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,11.0,6.6
2001-02,20.0,UTA,NBA,39:50,7.0,14.0,1.0,3.0,7.0,14.0,6.0,7.0,4.0,6.0,8.0,9.0,3.0,3.0,3.0,5.0,16.0,11.6
2002-03,21.0,UTA,NBA,34:11,8.0,18.0,1.0,2.0,8.0,17.0,4.0,4.0,3.0,5.0,8.0,3.0,2.0,2.0,5.0,4.0,18.0,14.4
2003-04,22.0,TOT,NBA,48:16,10.0,19.0,4.0,7.0,9.0,18.0,8.0,11.0,4.0,9.0,11.0,5.0,3.0,2.0,5.0,5.0,24.0,16.8
2003-04,22.0,UTA,NBA,41:15,10.0,19.0,2.0,4.0,9.0,18.0,8.0,11.0,4.0,9.0,11.0,4.0,3.0,2.0,5.0,5.0,24.0,16.8
2003-04,22.0,ORL,NBA,48:16,10.0,16.0,4.0,7.0,9.0,15.0,6.0,8.0,4.0,7.0,7.0,5.0,3.0,1.0,5.0,5.0,21.0,16.3
2004-05,23.0,ORL,NBA,42:17,13.0,23.0,4.0,9.0,11.0,20.0,8.0,11.0,4.0,5.0,8.0,5.0,2.0,1.0,6.0,4.0,29.0,17.5
2005-06,24.0,ORL,NBA,46:30,10.0,16.0,1.0,2.0,10.0,16.0,7.0,9.0,4.0,6.0,7.0,5.0,2.0,1.0,4.0,6.0,22.0,17.0
2006-07,25.0,WAS,NBA,42:07,11.0,18.0,4.0,8.0,8.0,14.0,6.0,9.0,4.0,6.0,10.0,7.0,4.0,2.0,5.0,5.0,28.0,25.6
2007-08,26.0,WAS,NBA,44:48,11.0,21.0,8.0,12.0,7.0,12.0,9.0,10.0,3.0,6.0,7.0,7.0,4.0,2.0,4.0,4.0,33.0,23.3
2008-09,27.0,WAS,NBA,37:45,7.0,14.0,5.0,10.0,4.0,7.0,6.0,9.0,1.0,5.0,5.0,8.0,2.0,1.0,4.0,6.0,21.0,19.1
2009-10,28.0,TOT,NBA,45:47,4.0,8.0,3.0,5.0,3.0,5.0,3.0,4.0,1.0,7.0,7.0,5.0,2.0,1.0,2.0,4.0,11.0,10.2
2009-10,28.0,WAS,NBA,45:47,4.0,8.0,2.0,5.0,3.0,5.0,3.0,4.0,1.0,7.0,7.0,5.0,2.0,1.0,2.0,4.0,10.0,10.2
2009-10,28.0,DAL,NBA,27:34,4.0,7.0,3.0,4.0,2.0,5.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,11.0,8.3
2010-11,29.0,DAL,NBA,35:14,8.0,13.0,6.0,12.0,3.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,24.0,18.7
2011-12,30.0,NJN,NBA,33:15,5.0,13.0,5.0,12.0,2.0,3.0,3.0,3.0,2.0,6.0,7.0,3.0,2.0,1.0,2.0,3.0,15.0,10.3
2012-13,31.0,ATL,NBA,38:29,5.0,11.0,5.0,11.0,3.0,5.0,2.0,3.0,2.0,6.0,7.0,4.0,2.0,1.0,4.0,6.0,17.0,15.7
Career,,,,48:16,13.0,23.0,8.0,12.0,11.0,20.0,9.0,11.0,4.0,9.0,11.0,9.0,4.0,3.0,6.0,6.0,33.0,25.6
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,WAS,NBA,45:47,11.0,21.0,8.0,12.0,8.0,14.0,9.0,10.0,4.0,7.0,10.0,8.0,4.0,2.0,5.0,6.0,33.0,25.6
4 Seasons,,UTA,NBA,41:15,10.0,19.0,2.0,4.0,9.0,18.0,8.0,11.0,4.0,9.0,11.0,9.0,3.0,3.0,5.0,5.0,24.0,16.8
3 Seasons,,ORL,NBA,48:16,13.0,23.0,4.0,9.0,11.0,20.0,8.0,11.0,4.0,7.0,8.0,5.0,3.0,1.0,6.0,6.0,29.0,17.5
2 Seasons,,DAL,NBA,35:14,8.0,13.0,6.0,12.0,3.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,24.0,18.7
1 Season,,ATL,NBA,38:29,5.0,11.0,5.0,11.0,3.0,5.0,2.0,3.0,2.0,6.0,7.0,4.0,2.0,1.0,4.0,6.0,17.0,15.7
1 Season,,NJN,NBA,33:15,5.0,13.0,5.0,12.0,2.0,3.0,3.0,3.0,2.0,6.0,7.0,3.0,2.0,1.0,2.0,3.0,15.0,10.3
