Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2001-02,20,BOS,NBA,SF,29.0,5.0,245.0,4.9,14.8,0.329,1.1,5.7,0.185,3.8,9.1,0.419,0.364,2.5,4.2,0.6,2.3,8.3,10.6,3.2,3.8,1.5,1.5,3.8,13.3,90.0,96.0,
2002-03,21,BOS,NBA,SF,51.0,5.0,666.0,4.8,13.6,0.357,0.2,3.1,0.077,4.6,10.5,0.439,0.365,1.6,2.5,0.625,3.6,7.5,11.1,1.6,2.7,1.0,1.8,5.4,11.5,86.0,99.0,
2003-04,22,2TM,NBA,SF,55.0,26.0,969.0,6.3,13.7,0.461,2.0,5.3,0.384,4.3,8.4,0.51,0.535,0.9,1.5,0.63,2.2,5.7,7.9,3.5,1.6,0.4,1.6,4.3,15.6,112.0,106.0,
2003-04,22,BOS,NBA,SF,21.0,10.0,408.0,5.7,12.5,0.455,1.5,4.0,0.375,4.2,8.5,0.493,0.515,1.0,1.6,0.615,2.3,6.3,8.6,3.2,2.1,0.3,1.5,4.8,13.9,109.0,104.0,
2003-04,22,CLE,NBA,SF,34.0,16.0,561.0,6.8,14.6,0.465,2.4,6.3,0.388,4.3,8.3,0.523,0.548,0.8,1.3,0.643,2.2,5.2,7.3,3.7,1.2,0.5,1.6,4.0,16.9,114.0,107.0,
2004-05,23,PHI,NBA,SF,8.0,0.0,55.0,1.8,5.5,0.333,0.0,2.8,0.0,1.8,2.8,0.667,0.333,7.4,9.2,0.8,0.9,9.2,10.1,3.7,2.8,0.9,4.6,3.7,11.0,92.0,101.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,143.0,36.0,1935.0,5.5,13.6,0.405,1.2,4.5,0.274,4.2,9.0,0.471,0.451,1.5,2.4,0.64,2.7,6.7,9.4,2.8,2.3,0.8,1.7,4.6,13.8,99.0,102.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,101.0,20.0,1319.0,5.1,13.5,0.379,0.8,3.9,0.204,4.3,9.6,0.45,0.409,1.6,2.6,0.615,2.9,7.3,10.2,2.4,2.7,0.9,1.7,4.9,12.6,94.0,100.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,34.0,16.0,561.0,6.8,14.6,0.465,2.4,6.3,0.388,4.3,8.3,0.523,0.548,0.8,1.3,0.643,2.2,5.2,7.3,3.7,1.2,0.5,1.6,4.0,16.9,114.0,107.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,8.0,0.0,55.0,1.8,5.5,0.333,0.0,2.8,0.0,1.8,2.8,0.667,0.333,7.4,9.2,0.8,0.9,9.2,10.1,3.7,2.8,0.9,4.6,3.7,11.0,92.0,101.0,
