Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2001-02,19,WAS,NBA,PF,57.0,3.0,817.0,94.0,243.0,0.387,0.0,1.0,0.0,94.0,242.0,0.388,0.387,70.0,99.0,0.707,63.0,135.0,198.0,43.0,16.0,26.0,43.0,105.0,258.0,0.0,
2002-03,20,WAS,NBA,C,80.0,20.0,1773.0,224.0,502.0,0.446,0.0,3.0,0.0,224.0,499.0,0.449,0.446,145.0,217.0,0.668,128.0,298.0,426.0,58.0,50.0,80.0,110.0,159.0,593.0,0.0,
2003-04,21,WAS,NBA,PF,74.0,57.0,2239.0,288.0,589.0,0.489,1.0,2.0,0.5,287.0,587.0,0.489,0.49,228.0,334.0,0.683,178.0,372.0,550.0,112.0,66.0,52.0,140.0,144.0,805.0,0.0,
2004-05,22,WAS,NBA,PF,42.0,14.0,908.0,109.0,237.0,0.46,0.0,0.0,,109.0,237.0,0.46,0.46,74.0,129.0,0.574,72.0,134.0,206.0,39.0,25.0,15.0,67.0,112.0,292.0,0.0,
2005-06,23,LAL,NBA,C,72.0,49.0,1978.0,204.0,388.0,0.526,0.0,1.0,0.0,204.0,387.0,0.527,0.526,128.0,235.0,0.545,182.0,291.0,473.0,72.0,27.0,46.0,100.0,196.0,536.0,0.0,
2006-07,24,LAL,NBA,C,41.0,28.0,1132.0,143.0,242.0,0.591,0.0,1.0,0.0,143.0,241.0,0.593,0.591,59.0,134.0,0.44,81.0,163.0,244.0,75.0,39.0,49.0,76.0,124.0,345.0,0.0,
2007-08,25,2TM,NBA,C,38.0,15.0,713.0,72.0,142.0,0.507,0.0,0.0,,72.0,142.0,0.507,0.507,40.0,98.0,0.408,51.0,137.0,188.0,45.0,22.0,23.0,51.0,82.0,184.0,0.0,
2007-08,25,LAL,NBA,C,23.0,14.0,509.0,53.0,103.0,0.515,0.0,0.0,,53.0,103.0,0.515,0.515,26.0,64.0,0.406,31.0,100.0,131.0,28.0,16.0,19.0,37.0,58.0,132.0,0.0,
2007-08,25,MEM,NBA,C,15.0,1.0,204.0,19.0,39.0,0.487,0.0,0.0,,19.0,39.0,0.487,0.487,14.0,34.0,0.412,20.0,37.0,57.0,17.0,6.0,4.0,14.0,24.0,52.0,0.0,
2008-09,26,DET,NBA,C,58.0,30.0,999.0,90.0,169.0,0.533,0.0,0.0,,90.0,169.0,0.533,0.533,63.0,122.0,0.516,91.0,199.0,290.0,32.0,24.0,24.0,50.0,138.0,243.0,0.0,
2009-10,27,DET,NBA,C,48.0,1.0,660.0,62.0,124.0,0.5,0.0,1.0,0.0,62.0,123.0,0.504,0.5,33.0,98.0,0.337,53.0,124.0,177.0,22.0,15.0,12.0,43.0,93.0,157.0,0.0,
