"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2001-02,20,CLE,NBA,C,18.0,1.0,109.0,0.0,0.0,0.0,7.0,94.0,-4.8,-1.1,4.0,5.0,15.0,1.0,2.0,,11.0,2.0,2.0,
2002-03,21,CLE,NBA,PF,80.0,1.0,943.0,0.0,0.0,0.0,38.0,62.0,-13.2,-3.6,26.0,16.0,103.0,8.0,14.0,,90.0,2.0,8.0,
2003-04,22,CLE,NBA,C,56.0,3.0,730.0,0.0,0.0,0.0,13.0,87.0,-4.7,-2.0,15.0,7.0,79.0,3.0,9.0,,70.0,2.0,7.0,
2004-05,23,CLE,NBA,C,39.0,0.0,306.0,0.0,0.0,0.0,13.0,87.0,-5.7,-7.0,4.0,4.0,39.0,0.0,2.0,,31.0,1.0,7.0,
2005-06,24,DAL,NBA,C,81.0,45.0,1510.0,0.0,0.0,0.0,1.0,99.0,9.2,4.3,12.0,5.0,178.0,9.0,26.0,3.0,53.0,6.0,12.0,
2006-07,25,DAL,NBA,C,81.0,9.0,1480.0,0.0,0.0,0.0,0.0,100.0,4.8,-5.2,10.0,16.0,157.0,12.0,39.0,6.0,69.0,6.0,21.0,
2007-08,26,2TM,NBA,C,79.0,23.0,1295.0,0.0,0.0,0.0,0.0,100.0,4.4,3.1,11.0,15.0,94.0,11.0,33.0,7.0,86.0,8.0,16.0,
2007-08,26,DAL,NBA,C,52.0,18.0,894.0,0.0,0.0,0.0,0.0,100.0,6.8,2.2,6.0,11.0,64.0,7.0,21.0,5.0,54.0,6.0,11.0,
2007-08,26,NJN,NBA,C,27.0,5.0,401.0,0.0,0.0,0.0,0.0,100.0,-1.2,5.1,5.0,4.0,30.0,4.0,12.0,2.0,32.0,2.0,5.0,
2008-09,27,2TM,NBA,C,75.0,1.0,1036.0,0.0,0.0,0.0,0.0,100.0,-7.0,-8.3,12.0,9.0,87.0,9.0,28.0,4.0,76.0,3.0,14.0,
2008-09,27,DAL,NBA,C,34.0,0.0,452.0,0.0,0.0,0.0,0.0,100.0,-7.7,-11.4,4.0,2.0,38.0,2.0,12.0,1.0,30.0,1.0,10.0,
2008-09,27,CHA,NBA,C,41.0,1.0,584.0,0.0,0.0,0.0,0.0,100.0,-6.4,-5.9,8.0,7.0,49.0,7.0,16.0,3.0,46.0,2.0,4.0,
2009-10,28,CHA,NBA,C,27.0,0.0,262.0,0.0,0.0,0.0,1.0,100.0,5.0,3.6,4.0,2.0,20.0,1.0,4.0,0.0,11.0,3.0,1.0,
2010-11,29,CHA,NBA,C,16.0,0.0,181.0,0.0,0.0,0.0,0.0,100.0,-10.1,-5.9,8.0,1.0,16.0,1.0,5.0,0.0,17.0,1.0,1.0,
2011-12,30,CHA,NBA,C,27.0,9.0,325.0,0.0,0.0,0.0,0.0,100.0,-20.6,-5.6,4.0,6.0,20.0,6.0,1.0,2.0,53.0,0.0,4.0,
2012-13,31,CHA,NBA,C,22.0,1.0,226.0,0.0,0.0,0.0,0.0,100.0,-4.1,6.3,5.0,3.0,15.0,0.0,1.0,0.0,27.0,0.0,0.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,601.0,93.0,8403.0,0.0,0.0,0.0,6.0,94.0,-0.8,-1.6,115.0,89.0,823.0,61.0,164.0,22.0,594.0,34.0,93.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,13.0,1146.0,0.0,0.0,0.0,6.0,94.0,-0.8,-1.6,16.0,12.0,112.0,8.0,22.0,,81.0,5.0,13.0,
,,,,,,,,,,,,,,,,,,,,,,,,
CHA (5 Yrs),CHA (5 Yrs),CHA (5 Yrs),CHA (5 Yrs),,133.0,11.0,1578.0,0.0,0.0,0.0,0.0,100.0,-7.5,-2.5,29.0,19.0,120.0,15.0,27.0,5.0,154.0,6.0,10.0,
DAL (4 Yrs),DAL (4 Yrs),DAL (4 Yrs),DAL (4 Yrs),,248.0,72.0,4336.0,0.0,0.0,0.0,0.0,100.0,5.5,-1.0,32.0,34.0,437.0,30.0,98.0,15.0,206.0,19.0,54.0,
CLE (4 Yrs),CLE (4 Yrs),CLE (4 Yrs),CLE (4 Yrs),,193.0,5.0,2088.0,0.0,0.0,0.0,24.0,76.0,-8.7,-3.4,49.0,32.0,236.0,12.0,27.0,,202.0,7.0,24.0,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,27.0,5.0,401.0,0.0,0.0,0.0,0.0,100.0,-1.2,5.1,5.0,4.0,30.0,4.0,12.0,2.0,32.0,2.0,5.0,
