"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2001-02,22,CHI,NBA,SG,78.0,47.0,2237.0,0.0,74.0,26.0,0.0,0.0,-11.2,-3.7,56.0,29.0,80.0,8.0,47.0,,369.0,11.0,27.0,
2002-03,23,CHI,NBA,SG,82.0,53.0,1999.0,0.0,92.0,7.0,0.0,0.0,-10.0,-9.1,49.0,22.0,90.0,6.0,17.0,,343.0,5.0,20.0,
2003-04,24,MIN,NBA,SG,81.0,74.0,2264.0,0.0,78.0,22.0,0.0,0.0,7.2,2.6,23.0,12.0,95.0,4.0,26.0,,291.0,5.0,14.0,
2004-05,25,MIN,NBA,SG,82.0,51.0,2068.0,0.0,78.0,22.0,0.0,0.0,-1.0,-5.3,37.0,16.0,78.0,6.0,53.0,,280.0,20.0,32.0,DPOY-14
2005-06,26,MIN,NBA,SG,77.0,67.0,2514.0,0.0,71.0,27.0,1.0,0.0,-2.1,0.1,59.0,26.0,79.0,19.0,89.0,12.0,440.0,26.0,42.0,
2006-07,27,MIN,NBA,SG,76.0,68.0,2223.0,0.0,86.0,13.0,0.0,0.0,-4.2,0.2,40.0,13.0,74.0,8.0,36.0,7.0,446.0,7.0,23.0,
2007-08,28,2TM,NBA,SG,63.0,6.0,773.0,1.0,84.0,15.0,0.0,0.0,-7.6,-9.4,8.0,5.0,32.0,4.0,2.0,7.0,100.0,0.0,7.0,
2007-08,28,DAL,NBA,SG,37.0,6.0,463.0,1.0,85.0,14.0,0.0,0.0,-7.4,-14.2,5.0,5.0,17.0,3.0,1.0,4.0,61.0,0.0,4.0,
2007-08,28,NJN,NBA,SG,26.0,0.0,310.0,0.0,83.0,17.0,0.0,0.0,-7.9,-2.3,3.0,0.0,15.0,1.0,1.0,3.0,39.0,0.0,3.0,
2008-09,29,NJN,NBA,SF,53.0,31.0,1094.0,0.0,15.0,80.0,6.0,0.0,-8.4,-7.9,14.0,8.0,43.0,0.0,11.0,6.0,116.0,3.0,4.0,
2009-10,30,NJN,NBA,SF,52.0,31.0,1106.0,6.0,52.0,40.0,2.0,0.0,-16.3,-8.4,14.0,14.0,47.0,1.0,31.0,11.0,114.0,5.0,15.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,644.0,428.0,16278.0,1.0,74.0,25.0,1.0,0.0,-4.8,-3.4,300.0,145.0,618.0,56.0,312.0,43.0,2499.0,82.0,184.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,54.0,2073.0,1.0,74.0,25.0,1.0,0.0,-4.8,-3.4,38.0,18.0,79.0,7.0,40.0,,318.0,10.0,23.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),,316.0,260.0,9069.0,0.0,78.0,21.0,0.0,0.0,0.0,-0.5,159.0,67.0,326.0,37.0,204.0,19.0,1457.0,58.0,111.0,
NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),,131.0,62.0,2510.0,3.0,39.0,54.0,3.0,0.0,-11.8,-7.4,31.0,22.0,105.0,2.0,43.0,20.0,269.0,8.0,22.0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,160.0,100.0,4236.0,0.0,83.0,17.0,0.0,0.0,-10.6,-6.2,105.0,51.0,170.0,14.0,64.0,,712.0,16.0,47.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,37.0,6.0,463.0,1.0,85.0,14.0,0.0,0.0,-7.4,-14.2,5.0,5.0,17.0,3.0,1.0,4.0,61.0,0.0,4.0,
