Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2001-02,22,CHI,NBA,SG,78.0,47.0,2237.0,6.3,14.9,0.425,1.4,3.9,0.364,4.9,11.0,0.447,0.473,2.1,2.7,0.763,1.5,4.5,6.0,4.1,1.3,1.0,2.4,4.4,16.1,99.0,110.0,
2002-03,23,CHI,NBA,SG,82.0,53.0,1999.0,3.7,10.1,0.367,0.3,1.0,0.325,3.4,9.0,0.372,0.384,1.1,1.4,0.745,0.9,5.6,6.5,3.9,1.2,1.6,2.1,5.1,8.8,86.0,107.0,
2003-04,24,MIN,NBA,SG,81.0,74.0,2264.0,4.2,9.1,0.465,0.1,0.3,0.308,4.1,8.8,0.47,0.47,1.1,1.5,0.787,1.6,4.5,6.1,3.2,0.9,1.3,1.1,4.8,9.7,107.0,103.0,
2004-05,25,MIN,NBA,SG,82.0,51.0,2068.0,5.9,12.4,0.474,0.0,0.3,0.091,5.8,12.1,0.483,0.475,2.3,3.0,0.789,2.1,3.6,5.7,3.3,0.8,0.8,1.7,5.2,14.1,108.0,111.0,DPOY-14
2005-06,26,MIN,NBA,SG,77.0,67.0,2514.0,6.2,13.2,0.464,0.2,0.5,0.304,6.0,12.8,0.47,0.47,2.8,3.8,0.744,1.8,2.9,4.6,4.4,0.9,0.6,2.7,4.3,15.3,101.0,109.0,
2006-07,27,MIN,NBA,SG,76.0,68.0,2223.0,5.2,10.5,0.49,0.1,0.6,0.24,5.0,9.9,0.505,0.497,1.7,2.2,0.783,2.0,3.8,5.8,4.8,0.5,0.6,1.9,3.4,12.2,109.0,112.0,
2007-08,28,2TM,NBA,SG,63.0,6.0,773.0,3.9,9.2,0.422,0.1,0.6,0.222,3.8,8.6,0.437,0.43,0.5,0.7,0.7,1.4,4.3,5.7,2.8,0.9,0.2,1.5,6.2,8.4,93.0,111.0,
2007-08,28,DAL,NBA,SG,37.0,6.0,463.0,4.3,9.2,0.463,0.1,0.5,0.25,4.1,8.7,0.474,0.469,0.1,0.2,0.5,1.3,3.8,5.1,3.0,1.0,0.1,1.6,6.3,8.7,97.0,110.0,
2007-08,28,NJN,NBA,SG,26.0,0.0,310.0,3.4,9.3,0.364,0.2,0.8,0.2,3.2,8.5,0.38,0.373,1.0,1.4,0.75,1.5,5.1,6.6,2.5,0.7,0.3,1.4,5.9,8.0,89.0,113.0,
2008-09,29,NJN,NBA,SF,53.0,31.0,1094.0,4.2,9.3,0.45,0.1,0.4,0.25,4.1,8.9,0.459,0.455,1.0,1.2,0.8,2.4,4.7,7.1,2.5,1.0,0.8,1.5,4.5,9.5,103.0,114.0,
2009-10,30,NJN,NBA,SF,52.0,31.0,1106.0,4.3,10.4,0.411,0.0,0.2,0.0,4.3,10.2,0.421,0.411,2.5,3.3,0.754,2.7,4.6,7.2,2.4,0.8,0.4,2.2,4.3,11.0,94.0,114.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,644.0,428.0,16278.0,5.1,11.4,0.445,0.3,1.0,0.318,4.7,10.4,0.457,0.459,1.8,2.3,0.765,1.8,4.2,6.0,3.7,0.9,0.9,1.9,4.6,12.2,101.0,109.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),,316.0,260.0,9069.0,5.4,11.3,0.473,0.1,0.4,0.25,5.2,10.9,0.481,0.477,2.0,2.6,0.77,1.9,3.7,5.5,3.9,0.8,0.8,1.9,4.4,12.8,105.0,109.0,
NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),,131.0,62.0,2510.0,4.1,9.8,0.422,0.1,0.4,0.167,4.1,9.4,0.432,0.425,1.6,2.1,0.765,2.4,4.7,7.1,2.4,0.9,0.6,1.8,4.6,10.0,97.0,114.0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,160.0,100.0,4236.0,5.1,12.6,0.403,0.9,2.5,0.356,4.2,10.0,0.415,0.439,1.6,2.1,0.757,1.3,5.0,6.3,4.0,1.2,1.3,2.3,4.7,12.6,94.0,108.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,37.0,6.0,463.0,4.3,9.2,0.463,0.1,0.5,0.25,4.1,8.7,0.474,0.469,0.1,0.2,0.5,1.3,3.8,5.1,3.0,1.0,0.1,1.6,6.3,8.7,97.0,110.0,
