"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2004-05,25,WAS,NBA,C,10.0,10.0,296.0,0.542,0.542,0.542,0.636,0.58,0.611,0.0,121.0,115.0,112.0,84.0,110.0,188.0,0.0,
2005-06,26,WAS,NBA,C,6.0,6.0,155.0,0.682,0.682,0.682,0.52,0.652,1.136,0.0,150.0,143.0,139.0,70.0,122.0,341.0,0.0,
2006-07,27,WAS,NBA,C,3.0,0.0,34.0,0.714,0.714,0.714,0.75,0.742,0.571,0.0,156.0,147.0,144.0,100.0,137.0,175.0,0.0,
2007-08,28,WAS,NBA,C,6.0,6.0,178.0,0.591,0.591,0.591,0.8,0.655,0.568,0.0,129.0,122.0,119.0,106.0,121.0,186.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2009-10,30,DAL,NBA,C,6.0,2.0,139.0,0.571,0.571,0.571,0.6,0.604,0.952,0.0,124.0,116.0,114.0,79.0,111.0,317.0,0.0,
2010-11,31,DAL,NBA,C,18.0,0.0,275.0,0.581,0.581,0.581,0.465,0.561,1.387,0.0,127.0,119.0,117.0,61.0,104.0,462.0,0.0,
2011-12,32,DAL,NBA,C,4.0,4.0,61.0,0.286,0.286,0.286,0.625,0.371,0.571,0.0,64.0,60.0,59.0,83.0,70.0,207.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2014-15,35,CLE,NBA,C,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,54.0,28.0,1140.0,0.561,0.561,0.561,0.598,0.592,0.797,0.0,124.0,117.0,114.0,79.0,110.0,256.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,25.0,22.0,663.0,0.586,0.586,0.586,0.653,0.622,0.676,0.0,129.0,123.0,120.0,87.0,116.0,210.0,0.0,
DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),,28.0,6.0,475.0,0.515,0.515,0.515,0.521,0.54,1.076,0.0,113.0,106.0,103.0,69.0,100.0,362.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
