Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2001-02,20,ORL,NBA,C,53,21,516,12.9,.502,.000,.639,8.6,12.4,10.5,1.5,0.5,5.8,7.8,17.7,0.5,0.5,1.0,.094,-3.7,-0.4,-4.0,-0.3,
2002-03,21,ORL,NBA,C,33,5,447,13.4,.531,.000,.427,9.5,14.5,11.9,2.2,1.0,5.9,10.9,13.7,0.4,0.5,0.9,.099,-1.9,0.1,-1.8,0.0,
2003-04,22,ORL,NBA,C,59,23,789,11.2,.504,.000,.445,7.6,17.0,12.2,2.4,0.3,6.7,13.5,12.3,0.3,0.3,0.6,.034,-3.1,0.0,-3.0,-0.2,
2004-05,23,PHO,NBA,C,76,3,1046,14.7,.596,.005,.741,10.5,12.6,11.6,1.7,0.2,6.4,13.1,14.0,1.7,1.0,2.6,.121,-1.6,0.7,-0.9,0.3,
2005-06,24,PHI,NBA,C,69,35,1312,13.9,.598,.000,.474,9.8,14.4,12.1,2.1,0.5,4.4,15.4,14.4,1.5,1.0,2.5,.090,-1.4,-0.9,-2.4,-0.1,
2006-07,25,PHI,NBA,PF,70,41,1605,12.3,.573,.000,.463,8.6,16.5,12.5,2.6,0.4,3.7,14.2,13.2,1.3,1.5,2.8,.085,-1.6,-0.1,-1.8,0.1,
2007-08,26,DEN,NBA,C,19,2,120,8.6,.530,.000,.714,9.2,16.8,13.1,0.0,0.0,3.5,16.0,15.5,0.0,0.1,0.1,.043,-5.5,-2.0,-7.5,-0.2,
2008-09,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2009-10,28,MEM,NBA,C,21,0,158,11.6,.450,.000,.837,13.3,17.8,15.5,0.0,0.3,4.8,13.3,18.8,-0.1,0.1,0.1,.018,-2.5,-2.3,-4.8,-0.1,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,400,130,5993,13.0,.558,.001,.545,9.3,15.0,12.1,2.1,0.4,5.1,13.3,14.1,5.7,4.9,10.6,.085,-2.1,-0.2,-2.3,-0.5,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,27,1229,13.0,.558,.001,.545,9.3,15.0,12.1,2.1,0.4,5.1,13.3,14.1,1.2,1.0,2.2,.085,-2.1,-0.2,-2.3,-0.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,145,49,1752,12.2,.510,.000,.511,8.4,15.0,11.6,2.1,0.6,6.2,10.8,14.3,1.2,1.3,2.5,.069,-3.0,-0.1,-3.0,-0.5,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,139,76,2917,13.0,.585,.000,.468,9.1,15.5,12.3,2.4,0.4,4.0,14.8,13.7,2.9,2.4,5.3,.087,-1.6,-0.5,-2.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,76,3,1046,14.7,.596,.005,.741,10.5,12.6,11.6,1.7,0.2,6.4,13.1,14.0,1.7,1.0,2.6,.121,-1.6,0.7,-0.9,0.3,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,21,0,158,11.6,.450,.000,.837,13.3,17.8,15.5,0.0,0.3,4.8,13.3,18.8,-0.1,0.1,0.1,.018,-2.5,-2.3,-4.8,-0.1,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,19,2,120,8.6,.530,.000,.714,9.2,16.8,13.1,0.0,0.0,3.5,16.0,15.5,0.0,0.1,0.1,.043,-5.5,-2.0,-7.5,-0.2,
