Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2007-08,27,ORL,NBA,SG,10.0,0.0,293.0,4.7,12.7,0.368,2.8,8.4,0.333,1.9,4.3,0.435,0.478,1.5,2.1,0.727,0.7,7.1,7.9,2.1,0.7,0.0,1.3,4.9,13.7,106.0,112.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,29,SAS,NBA,SF,8.0,0.0,55.0,1.9,9.6,0.2,1.0,5.8,0.167,1.0,3.8,0.25,0.25,0.0,0.0,,1.0,4.8,5.8,1.9,1.9,1.0,1.9,8.6,4.8,57.0,110.0,
2010-11,30,CHI,NBA,SG,16.0,16.0,307.0,5.0,12.4,0.406,4.5,10.6,0.424,0.5,1.8,0.3,0.587,0.2,0.7,0.25,0.7,2.9,3.6,2.2,1.8,0.5,1.3,4.7,14.8,116.0,104.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,32,BRK,NBA,SG,2.0,0.0,23.0,0.0,2.4,0.0,0.0,2.4,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.7,4.7,4.7,0.0,0.0,2.4,7.1,0.0,45.0,111.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,36.0,16.0,678.0,4.4,12.0,0.372,3.3,9.0,0.369,1.1,3.0,0.378,0.51,0.7,1.2,0.6,0.7,4.9,5.7,2.2,1.3,0.3,1.4,5.2,12.9,105.0,108.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,16.0,16.0,307.0,5.0,12.4,0.406,4.5,10.6,0.424,0.5,1.8,0.3,0.587,0.2,0.7,0.25,0.7,2.9,3.6,2.2,1.8,0.5,1.3,4.7,14.8,116.0,104.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,10.0,0.0,293.0,4.7,12.7,0.368,2.8,8.4,0.333,1.9,4.3,0.435,0.478,1.5,2.1,0.727,0.7,7.1,7.9,2.1,0.7,0.0,1.3,4.9,13.7,106.0,112.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,8.0,0.0,55.0,1.9,9.6,0.2,1.0,5.8,0.167,1.0,3.8,0.25,0.25,0.0,0.0,,1.0,4.8,5.8,1.9,1.9,1.0,1.9,8.6,4.8,57.0,110.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,2.0,0.0,23.0,0.0,2.4,0.0,0.0,2.4,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.7,4.7,4.7,0.0,0.0,2.4,7.1,0.0,45.0,111.0,
