"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2003-04,19,TOR,NBA,C,75,63,2510,.459,9.0,.980,.350,.149,.261,.221,.020,.461,.614,.387,.382,.363,.357,.609,1.000,.118,74,.214,.667,0,0,ROY-5
2004-05,20,TOR,NBA,PF,81,81,3017,.471,8.9,.990,.357,.164,.242,.227,.010,.472,.588,.430,.395,.404,.300,.613,1.000,.116,103,.200,.500,1,0,
2005-06,21,TOR,NBA,C,70,70,2751,.505,9.7,.988,.318,.162,.239,.269,.012,.511,.647,.398,.427,.493,.000,.488,,.074,76,.154,.000,0,0,AS
2006-07,22,TOR,NBA,C,69,69,2658,.496,9.7,.968,.348,.158,.157,.304,.032,.501,.656,.428,.343,.444,.343,.569,.833,.093,90,.057,.000,1,1,"MVP-7,AS,NBA2"
2007-08,23,TOR,NBA,C,67,67,2425,.494,9.9,.976,.366,.114,.167,.328,.024,.496,.625,.444,.407,.415,.400,.604,.900,.095,92,.080,.500,2,1,AS
2008-09,24,TOR,NBA,C,77,77,2928,.487,10.6,.961,.314,.135,.181,.331,.039,.497,.594,.433,.399,.483,.245,.519,.833,.073,81,.041,.000,2,0,AS
2009-10,25,TOR,NBA,C,70,70,2526,.518,8.8,.981,.351,.217,.189,.224,.019,.521,.661,.438,.425,.463,.364,.493,.875,.088,89,.091,.500,1,0,"MVP-12,AS"
2010-11,26,MIA,NBA,PF,77,77,2795,.496,11.4,.976,.225,.213,.189,.348,.024,.502,.706,.431,.425,.457,.240,.600,.833,.054,51,.120,.000,0,0,AS
2011-12,27,MIA,NBA,PF,57,57,2007,.487,10.6,.957,.310,.180,.154,.314,.043,.496,.676,.352,.476,.411,.286,.640,1.000,.090,66,.457,.313,1,0,AS
2012-13,28,MIA,NBA,C,74,74,2454,.535,11.8,.918,.294,.133,.128,.363,.082,.557,.749,.380,.379,.529,.284,.756,1.000,.089,77,.527,.333,0,0,AS
2013-14,29,MIA,NBA,C,79,79,2531,.516,13.4,.771,.280,.106,.109,.276,.229,.569,.712,.495,.481,.487,.339,.773,.959,.073,65,.239,.365,0,0,AS
2014-15,30,MIA,NBA,C,44,44,1556,.460,14.3,.774,.166,.114,.199,.295,.226,.485,.556,.471,.480,.455,.375,.518,.984,.024,17,.119,.350,0,0,AS
2015-16,31,MIA,NBA,PF,53,53,1778,.467,14.5,.711,.206,.086,.149,.270,.289,.508,.715,.364,.456,.425,.365,.606,.975,.034,25,.257,.386,0,0,AS
2016-17,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,893,881,31936,.494,11.0,.928,.304,.151,.182,.291,.072,.506,.651,.421,.416,.454,.335,.593,.957,.079,906,.222,.351,8,2,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,81,2933,.494,11.0,.928,.304,.151,.182,.291,.072,.506,.651,.421,.416,.454,.335,.593,.957,.079,83,.222,.351,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (7 Yrs),TOR (7 Yrs),TOR (7 Yrs),TOR (7 Yrs),,509,497,18815,.492,9.5,.977,.342,.158,.201,.276,.023,.497,.627,.425,.399,.446,.298,.550,.880,.092,605,.089,.333,7,2,
MIA (6 Yrs),MIA (6 Yrs),MIA (6 Yrs),MIA (6 Yrs),,384,384,13121,.496,12.6,.858,.249,.142,.154,.313,.142,.521,.697,.415,.448,.465,.344,.659,.973,.062,301,.252,.353,1,0,
