"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2005-06,23,DET,NBA,EC1,MIL,W (4-1),4,3.3,0.5,0.8,0.5,0.3,0.0,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,3,3,2,1,0,3,2,2,
2005-06,23,DET,NBA,ECS,CLE,W (4-3),1,7.0,3.0,1.0,0.0,0.0,0.0,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,0,0,0,3,0,3,
2005-06,23,DET,NBA,ECF,MIA,L (2-4),3,4.0,0.0,0.0,0.0,0.0,0.0,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,0,0,0,0,0,0,2,0,
2006-07,24,DET,NBA,EC1,ORL,W (4-0),4,12.3,4.5,2.0,0.5,0.8,0.0,7,14,.500,1,5,.200,6,9,.667,.536,3,4,.750,1,7,8,2,3,0,1,4,18,
2006-07,24,DET,NBA,ECS,CHI,W (4-2),6,8.5,1.8,1.3,0.5,0.2,0.2,5,14,.357,0,5,.000,5,9,.556,.357,1,2,.500,2,6,8,3,1,1,3,4,11,
2006-07,24,DET,NBA,ECF,CLE,L (2-4),6,5.8,1.3,0.8,0.5,0.2,0.0,3,9,.333,2,6,.333,1,3,.333,.444,0,0,,3,2,5,3,1,0,3,5,8,
2007-08,25,TOR,NBA,EC1,ORL,L (1-4),5,24.2,8.6,4.8,2.2,0.8,0.0,15,37,.405,4,15,.267,11,22,.500,.459,9,10,.900,5,19,24,11,4,0,3,14,43,
2008-09,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2009-10,27,MIL,NBA,EC1,ATL,L (3-4),7,32.3,10.0,4.0,2.6,0.7,0.3,26,73,.356,15,37,.405,11,36,.306,.459,3,4,.750,3,25,28,18,5,2,12,14,70,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,30,HOU,NBA,WC1,OKC,L (2-4),5,24.0,9.0,2.4,2.0,0.6,0.2,15,40,.375,11,31,.355,4,9,.444,.513,4,4,1.000,1,11,12,10,3,1,5,10,45,
5 Yrs (9 Series),5 Yrs (9 Series),5 Yrs (9 Series),5 Yrs (9 Series),5 Yrs (9 Series),5 Yrs (9 Series),4-5,41,15.5,4.9,2.2,1.2,0.4,0.1,72,193,.373,34,101,.337,38,92,.413,.461,22,26,.846,15,74,89,49,18,4,33,55,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),0-1,5,24.0,9.0,2.4,2.0,0.6,0.2,15,40,.375,11,31,.355,4,9,.444,.513,4,4,1.000,1,11,12,10,3,1,5,10,45,
EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),2-2,20,20.5,6.7,3.2,1.7,0.7,0.1,48,126,.381,20,58,.345,28,68,.412,.460,17,20,.850,9,54,63,33,13,2,19,34,133,
ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),2-0,7,8.3,2.0,1.3,0.4,0.1,0.1,6,15,.400,1,6,.167,5,9,.556,.433,1,2,.500,2,7,9,3,1,1,6,4,14,
ECF (2 Series),ECF (2 Series),ECF (2 Series),ECF (2 Series),ECF (2 Series),ECF (2 Series),0-2,9,5.2,0.9,0.6,0.3,0.1,0.0,3,12,.250,2,6,.333,1,6,.167,.333,0,0,,3,2,5,3,1,0,3,7,8,
