"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2003-04,21.0,ATL,NBA,41:49,7.0,10.0,2.0,2.0,7.0,10.0,5.0,6.0,8.0,8.0,12.0,10.0,4.0,2.0,6.0,6.0,15.0,18.5
2004-05,22.0,ATL,NBA,39:30,7.0,14.0,2.0,4.0,7.0,11.0,9.0,10.0,5.0,7.0,9.0,9.0,4.0,2.0,8.0,5.0,20.0,15.6
2005-06,23.0,PHO,NBA,46:43,12.0,19.0,1.0,2.0,12.0,19.0,10.0,10.0,8.0,10.0,13.0,16.0,3.0,4.0,6.0,6.0,31.0,29.8
2006-07,24.0,PHO,NBA,47:20,9.0,15.0,2.0,4.0,9.0,14.0,5.0,7.0,7.0,11.0,14.0,14.0,2.0,3.0,8.0,6.0,21.0,24.7
2007-08,25.0,PHO,NBA,43:30,11.0,16.0,1.0,4.0,11.0,15.0,7.0,7.0,5.0,9.0,11.0,11.0,3.0,3.0,6.0,6.0,22.0,21.9
2008-09,26.0,TOT,NBA,48:11,15.0,24.0,4.0,7.0,15.0,21.0,6.0,8.0,7.0,9.0,13.0,13.0,4.0,7.0,8.0,6.0,30.0,29.8
2008-09,26.0,PHO,NBA,35:26,7.0,15.0,1.0,3.0,7.0,13.0,3.0,5.0,3.0,6.0,7.0,5.0,2.0,3.0,4.0,4.0,14.0,12.0
2008-09,26.0,CHA,NBA,48:11,15.0,24.0,4.0,7.0,15.0,21.0,6.0,8.0,7.0,9.0,13.0,13.0,4.0,7.0,8.0,6.0,30.0,29.8
2009-10,27.0,CHA,NBA,52:13,10.0,18.0,5.0,8.0,10.0,15.0,7.0,8.0,6.0,9.0,12.0,9.0,3.0,5.0,6.0,6.0,28.0,25.7
2010-11,28.0,CHA,NBA,44:10,11.0,20.0,4.0,10.0,11.0,14.0,5.0,6.0,5.0,12.0,16.0,11.0,4.0,3.0,6.0,6.0,26.0,30.3
2011-12,29.0,TOT,NBA,41:00,12.0,15.0,3.0,6.0,9.0,12.0,6.0,10.0,5.0,12.0,16.0,10.0,3.0,2.0,6.0,6.0,27.0,22.4
2011-12,29.0,CHA,NBA,41:00,12.0,15.0,3.0,6.0,9.0,12.0,6.0,10.0,5.0,12.0,16.0,10.0,3.0,2.0,6.0,6.0,27.0,22.4
2011-12,29.0,SAS,NBA,26:37,4.0,7.0,2.0,2.0,3.0,7.0,2.0,2.0,5.0,7.0,9.0,9.0,3.0,1.0,3.0,6.0,9.0,13.3
2012-13,30.0,SAS,NBA,38:04,7.0,12.0,2.0,5.0,7.0,9.0,5.0,5.0,5.0,7.0,9.0,6.0,4.0,2.0,5.0,5.0,16.0,12.9
2013-14,31.0,SAS,NBA,37:42,9.0,20.0,3.0,5.0,7.0,18.0,6.0,7.0,4.0,7.0,11.0,7.0,3.0,2.0,5.0,5.0,22.0,18.1
2014-15,32.0,SAS,NBA,39:13,10.0,16.0,3.0,6.0,10.0,14.0,8.0,8.0,6.0,8.0,13.0,9.0,3.0,2.0,5.0,5.0,23.0,20.8
2015-16,33.0,SAS,NBA,35:05,8.0,13.0,2.0,5.0,7.0,11.0,4.0,5.0,3.0,7.0,8.0,7.0,2.0,3.0,6.0,5.0,20.0,18.9
2016-17,34.0,UTA,NBA,33:23,9.0,12.0,3.0,5.0,8.0,8.0,4.0,4.0,3.0,7.0,8.0,8.0,2.0,2.0,4.0,5.0,19.0,15.6
Career,,,,52:13,15.0,24.0,5.0,10.0,15.0,21.0,10.0,10.0,8.0,12.0,16.0,16.0,4.0,7.0,8.0,6.0,31.0,30.3
,,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,SAS,NBA,39:13,10.0,20.0,3.0,6.0,10.0,18.0,8.0,8.0,6.0,8.0,13.0,9.0,4.0,3.0,6.0,6.0,23.0,20.8
4 Seasons,,CHA,NBA,52:13,15.0,24.0,5.0,10.0,15.0,21.0,7.0,10.0,7.0,12.0,16.0,13.0,4.0,7.0,8.0,6.0,30.0,30.3
4 Seasons,,PHO,NBA,47:20,12.0,19.0,2.0,4.0,12.0,19.0,10.0,10.0,8.0,11.0,14.0,16.0,3.0,4.0,8.0,6.0,31.0,29.8
2 Seasons,,ATL,NBA,41:49,7.0,14.0,2.0,4.0,7.0,11.0,9.0,10.0,8.0,8.0,12.0,10.0,4.0,2.0,8.0,6.0,20.0,18.5
1 Season,,UTA,NBA,33:23,9.0,12.0,3.0,5.0,8.0,8.0,4.0,4.0,3.0,7.0,8.0,8.0,2.0,2.0,4.0,5.0,19.0,15.6
