Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,24,CHI,NBA,PG,6.0,6.0,213.0,7.6,16.9,0.45,2.9,5.6,0.515,4.7,11.3,0.418,0.535,3.4,4.9,0.69,0.7,3.0,3.7,5.9,2.0,0.7,2.4,3.0,21.5,
2005-06,25,CHI,NBA,PG,6.0,6.0,234.0,6.0,14.5,0.415,1.4,4.0,0.346,4.6,10.5,0.441,0.463,5.5,6.5,0.857,0.0,3.1,3.1,7.1,1.2,0.3,3.7,3.4,18.9,
2006-07,26,CHI,NBA,PG,10.0,10.0,362.0,4.4,11.6,0.376,1.3,4.3,0.302,3.1,7.4,0.419,0.432,2.0,2.6,0.769,0.4,3.8,4.2,7.5,0.9,0.3,2.3,3.7,12.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,28,CHI,NBA,SG,7.0,0.0,210.0,5.0,10.6,0.468,2.2,5.1,0.433,2.7,5.5,0.5,0.573,2.9,4.3,0.68,0.3,2.9,3.3,3.4,2.1,0.5,1.4,3.1,15.1,
2009-10,29,CHI,NBA,SG,5.0,5.0,196.0,4.0,9.6,0.423,1.5,2.9,0.5,2.6,6.6,0.389,0.5,1.8,2.6,0.714,0.2,3.9,4.0,3.7,1.3,0.0,0.4,2.6,11.4,
2010-11,30,ATL,NBA,PG,6.0,6.0,173.0,5.4,10.8,0.5,1.7,4.0,0.421,3.7,6.9,0.545,0.577,0.2,0.2,1.0,0.2,2.7,2.9,3.3,1.5,0.4,0.8,4.4,12.7,
2011-12,31,ATL,NBA,SG,6.0,4.0,141.0,3.3,7.7,0.433,1.5,4.1,0.375,1.8,3.6,0.5,0.533,0.5,0.5,1.0,1.0,2.0,3.1,1.5,1.0,0.0,0.5,2.3,8.7,
2012-13,32,CHI,NBA,PG,4.0,4.0,162.0,3.6,8.2,0.432,0.9,2.4,0.364,2.7,5.8,0.462,0.486,2.0,3.1,0.643,0.2,2.2,2.4,5.1,1.8,0.2,1.8,3.1,10.0,
2013-14,33,CHI,NBA,PG,5.0,5.0,167.0,5.0,12.1,0.411,1.5,4.1,0.368,3.4,8.0,0.432,0.473,0.4,0.9,0.5,0.2,3.0,3.2,4.7,0.9,0.2,2.4,4.7,11.9,
2014-15,34,CHI,NBA,SG,10.0,0.0,126.0,2.6,5.4,0.474,1.7,2.9,0.6,0.9,2.6,0.333,0.632,0.6,0.9,0.667,0.0,1.4,1.4,3.1,0.9,0.3,0.3,4.0,7.4,
2015-16,35,ATL,NBA,PG,6.0,0.0,27.0,2.7,9.3,0.286,1.3,4.0,0.333,1.3,5.3,0.25,0.357,0.0,0.0,,0.0,5.3,5.3,4.0,0.0,0.0,0.0,2.7,6.7,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,71.0,46.0,2011.0,4.8,11.2,0.428,1.6,4.0,0.407,3.2,7.2,0.44,0.502,2.1,2.9,0.744,0.3,3.0,3.3,5.0,1.3,0.3,1.7,3.4,13.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (8 Yrs),CHI (8 Yrs),CHI (8 Yrs),CHI (8 Yrs),,53.0,36.0,1670.0,4.9,11.6,0.423,1.7,4.1,0.41,3.2,7.5,0.43,0.494,2.5,3.4,0.739,0.3,3.1,3.4,5.4,1.4,0.3,2.0,3.4,13.9,
ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),,18.0,10.0,341.0,4.3,9.4,0.461,1.6,4.0,0.395,2.7,5.4,0.51,0.545,0.3,0.3,1.0,0.5,2.6,3.2,2.6,1.2,0.2,0.6,3.4,10.6,
