"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2003-04,23.0,DAL,NBA,44:01,8.0,16.0,2.0,5.0,8.0,14.0,8.0,10.0,8.0,11.0,14.0,5.0,4.0,3.0,5.0,6.0,19.0,18.7
2004-05,24.0,DAL,NBA,46:11,11.0,18.0,3.0,5.0,10.0,17.0,12.0,13.0,7.0,10.0,16.0,4.0,6.0,6.0,4.0,6.0,30.0,29.9
2005-06,25.0,DAL,NBA,50:46,11.0,19.0,2.0,4.0,11.0,18.0,9.0,13.0,6.0,13.0,18.0,6.0,4.0,5.0,4.0,6.0,29.0,25.5
2006-07,26.0,DAL,NBA,45:27,12.0,24.0,4.0,7.0,11.0,22.0,9.0,9.0,6.0,13.0,17.0,5.0,4.0,3.0,6.0,6.0,30.0,28.5
2007-08,27.0,DAL,NBA,44:06,14.0,27.0,4.0,8.0,14.0,24.0,15.0,17.0,6.0,12.0,14.0,6.0,4.0,2.0,5.0,6.0,47.0,43.4
2008-09,28.0,DAL,NBA,45:30,12.0,24.0,5.0,8.0,11.0,21.0,10.0,14.0,6.0,11.0,14.0,7.0,7.0,3.0,4.0,6.0,31.0,25.8
2009-10,29.0,TOT,NBA,40:08,9.0,17.0,3.0,6.0,8.0,14.0,10.0,12.0,3.0,7.0,9.0,4.0,3.0,1.0,5.0,5.0,25.0,17.7
2009-10,29.0,DAL,NBA,40:08,9.0,16.0,3.0,6.0,8.0,14.0,10.0,12.0,3.0,7.0,9.0,4.0,3.0,1.0,5.0,4.0,25.0,17.7
2009-10,29.0,WAS,NBA,33:06,8.0,17.0,1.0,4.0,7.0,13.0,6.0,8.0,3.0,4.0,7.0,4.0,3.0,1.0,2.0,5.0,20.0,15.5
2010-11,30.0,WAS,NBA,36:08,7.0,16.0,3.0,6.0,7.0,15.0,5.0,6.0,2.0,7.0,7.0,3.0,3.0,2.0,2.0,6.0,16.0,13.5
2011-12,31.0,UTA,NBA,40:26,8.0,16.0,2.0,3.0,7.0,15.0,7.0,8.0,4.0,7.0,9.0,4.0,3.0,1.0,4.0,6.0,19.0,17.0
2012-13,32.0,MIN,NBA,33:10,7.0,14.0,2.0,3.0,5.0,11.0,2.0,2.0,2.0,8.0,10.0,2.0,3.0,2.0,4.0,5.0,16.0,9.6
Career,,,,50:46,14.0,27.0,5.0,8.0,14.0,24.0,15.0,17.0,8.0,13.0,18.0,7.0,7.0,6.0,6.0,6.0,47.0,43.4
,,,,,,,,,,,,,,,,,,,,,,
7 Seasons,,DAL,NBA,50:46,14.0,27.0,5.0,8.0,14.0,24.0,15.0,17.0,8.0,13.0,18.0,7.0,7.0,6.0,6.0,6.0,47.0,43.4
2 Seasons,,WAS,NBA,36:08,8.0,17.0,3.0,6.0,7.0,15.0,6.0,8.0,3.0,7.0,7.0,4.0,3.0,2.0,2.0,6.0,20.0,15.5
1 Season,,UTA,NBA,40:26,8.0,16.0,2.0,3.0,7.0,15.0,7.0,8.0,4.0,7.0,9.0,4.0,3.0,1.0,4.0,6.0,19.0,17.0
1 Season,,MIN,NBA,33:10,7.0,14.0,2.0,3.0,5.0,11.0,2.0,2.0,2.0,8.0,10.0,2.0,3.0,2.0,4.0,5.0,16.0,9.6
