"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2003-04,23,DAL,NBA,SF,67.0,29.0,1589.0,0.43,9.8,0.876,0.361,0.199,0.128,0.188,0.124,0.448,0.651,0.292,0.324,0.31,0.303,0.536,0.8,0.038,18.0,0.227,0.133,2.0,0.0,
2004-05,24,DAL,NBA,SF,76.0,76.0,2446.0,0.475,9.7,0.855,0.405,0.153,0.108,0.189,0.145,0.506,0.636,0.488,0.349,0.333,0.296,0.504,1.0,0.068,49.0,0.278,0.188,1.0,0.0,DPOY-18
2005-06,25,DAL,NBA,SF,59.0,58.0,1915.0,0.471,9.5,0.915,0.312,0.254,0.168,0.18,0.085,0.475,0.573,0.46,0.368,0.425,0.429,0.415,0.926,0.03,21.0,0.238,0.333,0.0,0.0,
2006-07,26,DAL,NBA,SF,70.0,69.0,2455.0,0.459,13.6,0.778,0.218,0.134,0.178,0.248,0.222,0.48,0.632,0.451,0.497,0.348,0.385,0.426,0.87,0.021,22.0,0.259,0.323,2.0,0.0,"DPOY-18,AS"
2007-08,27,DAL,NBA,SF,76.0,76.0,2757.0,0.455,13.6,0.832,0.2,0.137,0.192,0.302,0.168,0.482,0.672,0.456,0.421,0.407,0.319,0.436,0.94,0.019,24.0,0.224,0.34,5.0,0.0,
2008-09,28,DAL,NBA,SF,52.0,51.0,1663.0,0.451,13.7,0.785,0.223,0.112,0.171,0.278,0.215,0.48,0.629,0.466,0.373,0.431,0.345,0.488,0.845,0.015,11.0,0.292,0.347,4.0,1.0,
2009-10,29,2TM,NBA,SF,35.0,12.0,918.0,0.405,14.0,0.778,0.188,0.129,0.17,0.291,0.222,0.444,0.671,0.48,0.333,0.345,0.267,0.59,1.0,0.005,2.0,0.267,0.304,3.0,0.0,
2009-10,29,DAL,NBA,SF,31.0,9.0,827.0,0.401,14.7,0.781,0.181,0.126,0.17,0.304,0.219,0.438,0.742,0.442,0.31,0.327,0.267,0.598,1.0,0.003,1.0,0.267,0.35,3.0,0.0,
2009-10,29,WAS,NBA,SF,4.0,3.0,91.0,0.435,13.3,0.761,0.239,0.152,0.174,0.196,0.239,0.486,0.273,0.714,0.5,0.556,0.273,0.529,1.0,0.022,1.0,0.273,0.0,0.0,0.0,
2010-11,30,WAS,NBA,SF,18.0,10.0,409.0,0.358,14.8,0.821,0.13,0.191,0.13,0.37,0.179,0.383,0.476,0.387,0.333,0.367,0.241,0.667,1.0,0.0,0.0,0.241,0.0,0.0,0.0,
