"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2005-06,21,CLE,NBA,EC1,WAS,W (4-2),6,47.3,35.7,7.5,5.7,1.3,0.7,77,151,.510,13,34,.382,64,117,.547,.553,47,63,.746,12,33,45,34,8,4,34,25,214,
2005-06,21,CLE,NBA,ECS,DET,L (3-4),7,45.9,26.6,8.6,6.0,1.4,0.7,69,156,.442,8,29,.276,61,127,.480,.468,40,55,.727,10,50,60,42,10,5,31,19,186,
2006-07,22,CLE,NBA,EC1,WAS,W (4-0),4,45.5,27.8,8.5,7.5,1.8,0.8,34,80,.425,4,15,.267,30,65,.462,.450,39,48,.813,9,25,34,30,7,3,7,9,111,
2006-07,22,CLE,NBA,ECS,NJN,W (4-2),6,44.0,24.7,7.3,8.5,1.2,0.3,47,111,.423,8,26,.308,39,85,.459,.459,46,61,.754,6,38,44,51,7,2,17,15,148,
2006-07,22,CLE,NBA,ECF,DET,W (4-2),6,46.2,25.7,9.2,8.5,2.7,0.5,53,118,.449,5,14,.357,48,104,.462,.470,43,58,.741,7,48,55,51,16,3,19,8,154,
2006-07,22,CLE,NBA,FIN,SAS,L (0-4),4,42.5,22.0,7.0,6.8,1.0,0.5,32,90,.356,4,20,.200,28,70,.400,.378,20,29,.690,4,24,28,27,4,2,23,8,88,
2007-08,23,CLE,NBA,EC1,WAS,W (4-2),6,41.5,29.8,9.5,7.7,1.3,1.3,58,120,.483,9,31,.290,49,89,.551,.521,54,77,.701,7,50,57,46,8,8,17,13,179,
2007-08,23,CLE,NBA,ECS,BOS,L (3-4),7,43.3,26.7,6.4,7.6,2.1,1.3,55,155,.355,9,39,.231,46,116,.397,.384,68,90,.756,9,36,45,53,15,9,37,20,187,
2008-09,24,CLE,NBA,EC1,DET,W (4-0),4,40.5,32.0,11.3,7.5,1.5,0.8,39,77,.506,3,17,.176,36,60,.600,.526,47,59,.797,4,41,45,30,6,3,6,5,128,
2008-09,24,CLE,NBA,ECS,ATL,W (4-0),4,38.0,33.8,8.3,6.0,2.5,0.5,45,81,.556,13,27,.481,32,54,.593,.636,32,46,.696,5,28,33,24,10,2,7,6,135,
2008-09,24,CLE,NBA,ECF,ORL,L (2-4),6,44.3,38.5,8.3,8.0,1.2,1.2,75,154,.487,11,37,.297,64,117,.547,.523,70,94,.745,10,40,50,48,7,7,25,19,231,
