Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2001-02,20,2TM,NBA,SG,77,60,1916,4.7,11.0,.430,0.7,2.4,.292,4.0,8.5,.469,.462,0.8,1.0,.774,1.4,3.4,4.8,3.4,1.1,0.4,1.3,2.1,10.9,
2001-02,20,BOS,NBA,SG,48,33,1003,4.7,10.6,.439,0.9,3.2,.273,3.8,7.5,.510,.480,0.7,0.9,.769,1.4,3.6,5.0,2.7,1.2,0.3,1.0,2.1,10.9,
2001-02,20,PHO,NBA,SG,29,27,913,4.8,11.4,.420,0.6,1.7,.333,4.2,9.7,.435,.444,0.8,1.1,.778,1.4,3.3,4.7,4.1,1.0,0.4,1.7,2.2,10.9,
2002-03,21,PHO,NBA,SG,82,34,2255,5.0,12.7,.397,1.2,3.3,.366,3.8,9.4,.408,.444,1.5,2.0,.774,0.9,3.3,4.2,3.4,1.0,0.3,1.7,2.3,12.8,6MOY-11
2003-04,22,PHO,NBA,SG,82,77,3331,6.0,14.0,.430,0.9,2.9,.305,5.1,11.0,.463,.462,1.9,2.5,.750,0.9,3.3,4.2,3.9,1.0,0.3,2.2,1.9,14.8,
2004-05,23,PHO,NBA,SF,82,82,3240,6.0,13.1,.461,2.0,4.1,.478,4.1,9.0,.454,.536,1.5,2.0,.750,1.3,3.4,4.7,3.2,0.9,0.3,1.6,1.9,15.6,
2005-06,24,ATL,NBA,SG,82,82,3340,6.8,15.0,.453,1.4,3.9,.356,5.4,11.2,.487,.499,2.8,3.6,.791,1.1,2.6,3.6,5.8,1.1,0.3,2.9,2.0,17.8,
2006-07,25,ATL,NBA,SG,57,57,2359,8.2,17.4,.471,1.8,4.8,.381,6.4,12.6,.504,.523,3.6,4.8,.748,0.8,2.8,3.6,3.8,0.9,0.2,2.7,1.8,21.8,AS
2007-08,26,ATL,NBA,SG,82,82,3343,7.0,16.1,.432,1.8,4.8,.381,5.1,11.3,.454,.489,3.4,4.1,.834,0.9,3.1,4.0,5.1,0.9,0.2,2.4,1.8,19.2,AS
2008-09,27,ATL,NBA,SG,79,79,3124,7.1,16.4,.437,1.7,4.8,.360,5.4,11.6,.468,.489,3.4,4.2,.826,0.7,3.2,4.0,5.2,1.0,0.2,2.2,2.0,19.5,AS
2009-10,28,ATL,NBA,SG,76,76,2886,7.9,17.3,.458,1.6,4.4,.369,6.3,12.9,.488,.505,2.7,3.4,.818,0.9,3.5,4.4,4.6,1.0,0.1,1.8,1.8,20.2,"MVP-12,AS,NBA3"
2010-11,29,ATL,NBA,SG,72,72,2554,7.2,16.4,.443,1.3,4.2,.297,6.0,12.1,.494,.481,2.7,3.4,.802,0.8,3.3,4.1,4.8,0.7,0.1,2.1,1.8,18.5,AS
2011-12,30,ATL,NBA,SG,60,60,2127,7.2,15.8,.454,2.1,5.4,.388,5.0,10.3,.489,.521,2.7,3.1,.849,0.9,2.8,3.7,3.9,0.8,0.2,2.0,1.3,19.1,"MVP-15,AS"
2012-13,31,BRK,NBA,SG,72,72,2642,6.1,14.3,.423,2.0,5.4,.375,4.0,9.0,.452,.493,1.8,2.2,.820,0.7,2.2,3.0,3.4,0.7,0.2,1.7,1.3,15.9,
2013-14,32,BRK,NBA,SG,79,79,2575,6.5,14.2,.454,2.3,5.6,.401,4.2,8.6,.489,.533,2.2,2.7,.815,0.7,3.1,3.8,3.0,0.7,0.1,1.7,1.8,17.4,AS
2014-15,33,BRK,NBA,SG,80,80,2791,5.8,13.2,.435,1.6,4.3,.359,4.2,8.9,.472,.494,1.8,2.3,.801,0.7,4.3,5.0,3.8,0.8,0.2,1.8,1.5,14.9,
2015-16,34,2TM,NBA,SF,81,81,2703,5.0,11.4,.439,1.6,4.2,.383,3.4,7.3,.471,.509,1.6,1.9,.831,0.7,3.2,3.9,4.2,0.8,0.1,2.1,1.9,13.2,
2015-16,34,BRK,NBA,SF,57,57,1934,4.6,11.3,.406,1.6,4.3,.371,3.0,7.1,.427,.476,1.7,2.0,.852,0.6,3.5,4.2,4.3,0.7,0.0,2.2,1.9,12.5,
2015-16,34,MIA,NBA,SF,24,24,769,6.1,11.8,.518,1.6,3.9,.417,4.4,7.8,.569,.588,1.2,1.6,.765,0.7,2.5,3.2,4.0,1.0,0.1,2.0,2.2,15.0,
2016-17,35,UTA,NBA,SF,78,14,1843,5.3,12.2,.436,2.1,5.0,.411,3.3,7.2,.454,.521,1.2,1.5,.818,0.6,4.1,4.7,2.8,0.7,0.4,1.3,1.8,14.0,
2017-18,36,2TM,NBA,SF,55,4,1205,4.4,10.8,.406,1.2,4.3,.276,3.2,6.4,.493,.461,1.2,1.3,.889,0.4,4.7,5.1,2.5,0.5,0.2,1.5,2.0,11.1,
2017-18,36,UTA,NBA,SF,32,3,700,4.9,11.6,.420,1.2,4.3,.274,3.7,7.3,.507,.471,1.0,1.2,.833,0.6,4.9,5.5,2.3,0.6,0.3,1.6,1.6,12.0,
2017-18,36,HOU,NBA,SF,23,1,505,3.6,9.6,.381,1.2,4.3,.279,2.4,5.2,.466,.444,1.4,1.5,.952,0.1,4.5,4.6,2.7,0.4,0.1,1.3,2.5,9.9,
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
