"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2003-04,23.0,ORL,NBA,45:26,7.0,15.0,4.0,7.0,5.0,10.0,6.0,6.0,6.0,11.0,12.0,7.0,4.0,2.0,4.0,6.0,21.0,18.5
2004-05,24.0,CHA,NBA,43:04,10.0,19.0,6.0,9.0,7.0,14.0,8.0,13.0,4.0,7.0,8.0,6.0,5.0,2.0,5.0,6.0,28.0,22.6
2005-06,25.0,TOT,NBA,48:55,8.0,15.0,4.0,7.0,6.0,11.0,7.0,11.0,3.0,8.0,9.0,7.0,4.0,1.0,5.0,6.0,22.0,18.7
2005-06,25.0,CHA,NBA,36:26,7.0,15.0,3.0,5.0,6.0,11.0,7.0,10.0,3.0,8.0,8.0,4.0,4.0,1.0,5.0,5.0,22.0,18.7
2005-06,25.0,HOU,NBA,48:55,8.0,15.0,4.0,7.0,4.0,10.0,7.0,11.0,3.0,7.0,9.0,7.0,3.0,1.0,4.0,6.0,20.0,17.0
2006-07,26.0,ORL,NBA,40:40,6.0,13.0,3.0,8.0,4.0,6.0,4.0,4.0,2.0,4.0,5.0,7.0,2.0,1.0,3.0,4.0,19.0,17.1
2007-08,27.0,ORL,NBA,43:51,9.0,14.0,5.0,11.0,5.0,6.0,4.0,6.0,4.0,10.0,11.0,4.0,3.0,2.0,2.0,5.0,22.0,19.0
2008-09,28.0,TOT,NBA,36:34,7.0,17.0,4.0,9.0,3.0,8.0,5.0,6.0,4.0,9.0,12.0,4.0,5.0,1.0,3.0,5.0,22.0,18.5
2008-09,28.0,ORL,NBA,36:34,5.0,11.0,4.0,8.0,2.0,4.0,5.0,6.0,2.0,9.0,9.0,4.0,2.0,1.0,2.0,5.0,16.0,13.4
2008-09,28.0,MIL,NBA,31:30,7.0,17.0,4.0,9.0,3.0,8.0,4.0,4.0,4.0,8.0,12.0,4.0,5.0,1.0,3.0,3.0,22.0,18.5
2009-10,29.0,SAS,NBA,39:29,6.0,11.0,5.0,8.0,4.0,6.0,4.0,4.0,3.0,6.0,7.0,6.0,3.0,2.0,5.0,6.0,17.0,18.0
2010-11,30.0,CHI,NBA,35:49,6.0,10.0,5.0,10.0,4.0,5.0,2.0,2.0,3.0,8.0,8.0,4.0,6.0,1.0,2.0,5.0,17.0,17.6
2011-12,31.0,NJN,NBA,21:14,3.0,6.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,6.0,2.0,1.0,0.0,1.0,4.0,7.0,4.1
2012-13,32.0,BRK,NBA,36:33,5.0,9.0,4.0,8.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,1.0,3.0,5.0,13.0,14.5
2013-14,33.0,BOS,NBA,14:14,2.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,9.0,8.7
Career,,,,48:55,10.0,19.0,6.0,11.0,7.0,14.0,8.0,13.0,6.0,11.0,12.0,7.0,6.0,2.0,5.0,6.0,28.0,22.6
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,ORL,NBA,45:26,9.0,15.0,5.0,11.0,5.0,10.0,6.0,6.0,6.0,11.0,12.0,7.0,4.0,2.0,4.0,6.0,22.0,19.0
2 Seasons,,CHA,NBA,43:04,10.0,19.0,6.0,9.0,7.0,14.0,8.0,13.0,4.0,8.0,8.0,6.0,5.0,2.0,5.0,6.0,28.0,22.6
2 Seasons,,"BRK,NJN",NBA,36:33,5.0,9.0,4.0,8.0,2.0,3.0,3.0,4.0,2.0,4.0,6.0,5.0,3.0,1.0,3.0,5.0,13.0,14.5
1 Season,,CHI,NBA,35:49,6.0,10.0,5.0,10.0,4.0,5.0,2.0,2.0,3.0,8.0,8.0,4.0,6.0,1.0,2.0,5.0,17.0,17.6
1 Season,,SAS,NBA,39:29,6.0,11.0,5.0,8.0,4.0,6.0,4.0,4.0,3.0,6.0,7.0,6.0,3.0,2.0,5.0,6.0,17.0,18.0
1 Season,,HOU,NBA,48:55,8.0,15.0,4.0,7.0,4.0,10.0,7.0,11.0,3.0,7.0,9.0,7.0,3.0,1.0,4.0,6.0,20.0,17.0
1 Season,,MIL,NBA,31:30,7.0,17.0,4.0,9.0,3.0,8.0,4.0,4.0,4.0,8.0,12.0,4.0,5.0,1.0,3.0,3.0,22.0,18.5
1 Season,,BOS,NBA,14:14,2.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,9.0,8.7
