"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2003-04,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2004-05,24,TOR,NBA,C,82,0,1553,.533,.561,.424,.576,.789,.596,.153,.199,119,119,119,119,104,113,47,101,86.4,65.7,
2005-06,25,TOR,NBA,PF,78,6,1710,.448,.478,.420,.557,.829,.582,.163,.520,99,100,117,114,111,109,49,257,62.4,46.9,
2006-07,26,SAS,NBA,PF,56,0,653,.447,.490,.383,.523,.711,.542,.160,.397,98,101,107,105,94,100,49,187,12.7,0.2,
2007-08,27,SAS,NBA,PF,68,3,853,.416,.487,.336,.495,.864,.525,.151,.471,91,101,93,99,114,97,49,212,-1.5,-9.3,
2008-09,28,SAS,NBA,PF,81,67,1928,.496,.552,.440,.606,.739,.611,.043,.500,108,114,120,121,96,112,14,223,114.2,72.4,
2009-10,29,SAS,NBA,PF,65,8,1161,.446,.539,.390,.567,.729,.581,.129,.621,97,110,110,113,96,107,43,280,49.5,30.1,
2010-11,30,SAS,NBA,PF,66,1,1432,.464,.475,.457,.605,.744,.617,.116,.620,101,98,127,121,97,114,39,280,79.2,58.8,6MOY-15
2011-12,31,SAS,NBA,PF,65,2,1326,.440,.490,.420,.590,.762,.597,.060,.714,98,103,120,121,101,113,22,316,71.9,50.3,
2012-13,32,SAS,NBA,PF,68,4,909,.487,.536,.442,.602,.733,.609,.065,.522,108,111,123,121,97,114,24,214,48.6,35.0,
2013-14,33,SAS,NBA,PF,61,0,690,.445,.470,.429,.573,.750,.582,.073,.598,98,96,119,114,99,108,26,230,23.6,13.9,
2014-15,34,SAS,NBA,PF,72,19,935,.409,.462,.365,.509,.811,.536,.161,.548,91,95,104,103,108,100,59,204,5.9,0.9,
2015-16,35,SAS,NBA,C,30,2,206,.509,.609,.441,.640,.750,.647,.070,.596,113,124,125,127,99,119,25,209,15.7,12.4,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,792,112,13356,.464,.516,.414,.570,.780,.585,.115,.510,102,107,116,115,103,109,37,227,568.6,377.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (10 Yrs),SAS (10 Yrs),SAS (10 Yrs),SAS (10 Yrs),,632,106,10093,.456,.510,.413,.571,.765,.584,.100,.560,100,105,116,115,101,108,34,243,419.8,264.7,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,160,6,3263,.490,.529,.421,.566,.810,.589,.158,.360,109,112,118,116,108,111,48,180,148.8,112.6,
