Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2006-07,22,TOR,NBA,C,6.0,6.0,222.0,36.0,91.0,0.396,1.0,5.0,0.2,35.0,86.0,0.407,0.401,32.0,38.0,0.842,7.0,47.0,54.0,15.0,5.0,11.0,12.0,19.0,105.0,0.0,
2007-08,23,TOR,NBA,C,5.0,5.0,199.0,42.0,89.0,0.472,1.0,7.0,0.143,41.0,82.0,0.5,0.478,35.0,42.0,0.833,20.0,25.0,45.0,18.0,8.0,2.0,13.0,19.0,120.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,26,MIA,NBA,PF,21.0,21.0,834.0,138.0,291.0,0.474,0.0,4.0,0.0,138.0,287.0,0.481,0.474,114.0,140.0,0.814,47.0,131.0,178.0,23.0,14.0,19.0,40.0,48.0,390.0,0.0,
2011-12,27,MIA,NBA,PF,14.0,10.0,439.0,73.0,148.0,0.493,7.0,13.0,0.538,66.0,135.0,0.489,0.517,43.0,52.0,0.827,36.0,73.0,109.0,8.0,6.0,14.0,20.0,20.0,196.0,0.0,
2012-13,28,MIA,NBA,C,23.0,23.0,751.0,110.0,240.0,0.458,15.0,37.0,0.405,95.0,203.0,0.468,0.49,44.0,60.0,0.733,38.0,129.0,167.0,34.0,23.0,36.0,27.0,67.0,279.0,0.0,
2013-14,29,MIA,NBA,C,20.0,20.0,686.0,116.0,229.0,0.507,30.0,74.0,0.405,86.0,155.0,0.555,0.572,36.0,48.0,0.75,24.0,88.0,112.0,21.0,17.0,20.0,14.0,51.0,298.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,89.0,85.0,3131.0,515.0,1088.0,0.473,54.0,140.0,0.386,461.0,948.0,0.486,0.498,304.0,380.0,0.8,172.0,493.0,665.0,119.0,73.0,102.0,126.0,224.0,1388.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,78.0,2885.0,474.0,1002.0,0.473,50.0,129.0,0.386,425.0,873.0,0.486,0.498,280.0,350.0,0.8,158.0,454.0,613.0,110.0,67.0,94.0,116.0,206.0,1279.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),,78.0,74.0,2710.0,437.0,908.0,0.481,52.0,128.0,0.406,385.0,780.0,0.494,0.51,237.0,300.0,0.79,145.0,421.0,566.0,86.0,60.0,89.0,101.0,186.0,1163.0,0.0,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,11.0,11.0,421.0,78.0,180.0,0.433,2.0,12.0,0.167,76.0,168.0,0.452,0.439,67.0,80.0,0.838,27.0,72.0,99.0,33.0,13.0,13.0,25.0,38.0,225.0,0.0,
