Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2004-05,24,SEA,NBA,C,11.0,0.0,218.0,37.0,61.0,0.607,1.0,1.0,1.0,36.0,60.0,0.6,0.615,17.0,27.0,0.63,22.0,33.0,55.0,5.0,3.0,5.0,6.0,40.0,92.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,29,OKC,NBA,C,6.0,0.0,129.0,8.0,24.0,0.333,0.0,1.0,0.0,8.0,23.0,0.348,0.333,3.0,7.0,0.429,12.0,16.0,28.0,2.0,5.0,1.0,4.0,20.0,19.0,0.0,
2010-11,30,OKC,NBA,C,17.0,0.0,413.0,48.0,76.0,0.632,0.0,0.0,,48.0,76.0,0.632,0.632,18.0,23.0,0.783,47.0,51.0,98.0,15.0,15.0,15.0,13.0,63.0,114.0,0.0,
2011-12,31,OKC,NBA,PF,20.0,0.0,332.0,33.0,51.0,0.647,0.0,0.0,,33.0,51.0,0.647,0.647,3.0,7.0,0.429,30.0,37.0,67.0,19.0,12.0,5.0,12.0,51.0,69.0,0.0,
2012-13,32,OKC,NBA,C,11.0,0.0,178.0,22.0,47.0,0.468,0.0,0.0,,22.0,47.0,0.468,0.468,11.0,12.0,0.917,25.0,26.0,51.0,12.0,5.0,11.0,10.0,37.0,55.0,0.0,
2013-14,33,OKC,NBA,PF,17.0,2.0,183.0,12.0,29.0,0.414,2.0,5.0,0.4,10.0,24.0,0.417,0.448,7.0,10.0,0.7,12.0,26.0,38.0,13.0,4.0,7.0,6.0,28.0,33.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,35,OKC,NBA,PF,9.0,0.0,79.0,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,1.0,2.0,0.5,3.0,8.0,11.0,5.0,8.0,0.0,1.0,17.0,9.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,91.0,2.0,1532.0,164.0,294.0,0.558,3.0,7.0,0.429,161.0,287.0,0.561,0.563,60.0,88.0,0.682,151.0,197.0,348.0,71.0,52.0,44.0,52.0,256.0,391.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,2.0,1380.0,148.0,265.0,0.558,3.0,6.0,0.429,145.0,259.0,0.561,0.563,54.0,79.0,0.682,136.0,178.0,314.0,64.0,47.0,40.0,47.0,231.0,352.0,0.0,
