Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2003-04,21,ATL,NBA,SG,76,37,1919,8.8,.483,.083,.297,6.6,13.5,10.1,14.9,1.6,1.4,26.3,11.4,-0.3,1.1,0.8,.021,-2.4,0.1,-2.3,-0.2,
2004-05,22,ATL,NBA,SG,66,25,1201,10.0,.479,.170,.262,5.0,11.8,8.2,19.5,1.6,1.2,21.0,15.5,-0.3,0.4,0.1,.005,-2.7,-0.8,-3.5,-0.4,
2005-06,23,PHO,NBA,PF,81,70,2874,17.3,.564,.035,.279,6.3,15.1,10.8,24.9,1.0,2.1,16.5,17.9,5.9,3.0,8.9,.149,1.4,1.4,2.8,3.5,MIP-1
2006-07,24,PHO,NBA,PF,73,59,2268,13.0,.570,.079,.211,4.9,11.0,8.1,21.7,0.6,1.2,19.9,15.4,3.0,1.5,4.6,.097,0.3,0.2,0.4,1.4,
2007-08,25,PHO,NBA,PF,82,19,2308,12.0,.516,.063,.200,5.2,12.7,9.3,19.0,1.3,1.1,18.1,16.6,1.1,1.9,3.0,.063,-1.0,0.2,-0.8,0.7,
2008-09,26,2TM,NBA,PF,81,59,2754,14.4,.565,.205,.166,5.3,13.8,9.6,21.2,1.2,1.6,18.5,19.7,1.9,2.8,4.7,.082,0.8,0.3,1.2,2.2,
2008-09,26,PHO,NBA,PF,22,0,538,12.5,.600,.099,.184,5.4,12.5,9.1,12.1,1.0,1.2,19.5,15.5,0.5,0.2,0.7,.062,0.2,-0.4,-0.1,0.3,
2008-09,26,CHA,NBA,PF,59,59,2216,14.9,.558,.225,.163,5.3,14.1,9.7,23.4,1.2,1.6,18.3,20.8,1.4,2.6,4.0,.086,1.0,0.5,1.5,1.9,
2009-10,27,CHA,NBA,PF,82,82,2906,12.8,.552,.266,.190,5.5,11.9,8.8,18.9,1.1,1.6,17.5,16.2,2.4,3.8,6.2,.103,-0.1,0.9,0.8,2.0,
2010-11,28,CHA,NBA,PF,82,82,2778,13.9,.558,.292,.159,4.5,13.6,9.0,20.6,1.4,1.3,16.7,16.8,2.4,2.3,4.8,.082,0.3,0.3,0.6,1.8,
