"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2005-06,23,PHO,NBA,PF,20.0,20.0,796.0,0.0,0.0,0.0,60.0,40.0,3.1,5.1,24.0,11.0,37.0,15.0,46.0,5.0,249.0,19.0,19.0,
2006-07,24,PHO,NBA,PF,10.0,0.0,235.0,0.0,0.0,0.0,86.0,14.0,0.0,-10.4,6.0,5.0,9.0,3.0,7.0,3.0,68.0,3.0,2.0,
2007-08,25,PHO,NBA,PF,5.0,2.0,178.0,0.0,0.0,39.0,58.0,4.0,-0.2,9.0,3.0,2.0,9.0,5.0,3.0,2.0,54.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,27,CHA,NBA,PF,4.0,4.0,152.0,0.0,0.0,0.0,96.0,4.0,-17.5,-32.9,6.0,2.0,5.0,2.0,0.0,1.0,36.0,0.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,29,SAS,NBA,PF,14.0,14.0,346.0,0.0,0.0,0.0,94.0,6.0,15.0,16.1,7.0,6.0,14.0,1.0,4.0,1.0,81.0,1.0,4.0,
2012-13,30,SAS,NBA,PF,16.0,1.0,273.0,0.0,0.0,0.0,89.0,10.0,7.8,0.5,7.0,1.0,11.0,2.0,2.0,2.0,66.0,0.0,3.0,
2013-14,31,SAS,NBA,PF,23.0,3.0,604.0,0.0,0.0,2.0,94.0,4.0,8.3,-4.0,15.0,9.0,25.0,1.0,16.0,4.0,190.0,2.0,6.0,
2014-15,32,SAS,NBA,PF,7.0,0.0,198.0,0.0,0.0,0.0,97.0,4.0,-1.9,-6.0,2.0,3.0,6.0,1.0,5.0,1.0,58.0,1.0,1.0,
2015-16,33,SAS,NBA,PF,9.0,0.0,159.0,0.0,0.0,0.0,99.0,1.0,10.7,1.0,1.0,4.0,5.0,0.0,2.0,1.0,53.0,0.0,4.0,
2016-17,34,UTA,NBA,PF,11.0,9.0,203.0,0.0,0.0,0.0,87.0,13.0,3.7,13.3,10.0,2.0,6.0,1.0,4.0,0.0,54.0,2.0,3.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,119.0,53.0,3144.0,0.0,0.0,3.0,82.0,15.0,4.5,1.0,81.0,45.0,127.0,31.0,89.0,20.0,909.0,28.0,43.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,37.0,2166.0,0.0,0.0,3.0,82.0,15.0,4.5,1.0,56.0,31.0,88.0,21.0,61.0,14.0,626.0,19.0,30.0,
,,,,,,,,,,,,,,,,,,,,,,,,
SAS (5 Yrs),SAS (5 Yrs),SAS (5 Yrs),SAS (5 Yrs),,69.0,18.0,1580.0,0.0,0.0,1.0,94.0,5.0,8.7,1.4,32.0,23.0,61.0,5.0,29.0,9.0,448.0,4.0,18.0,
PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),,35.0,22.0,1209.0,0.0,0.0,6.0,65.0,30.0,2.0,2.7,33.0,18.0,55.0,23.0,56.0,10.0,371.0,22.0,21.0,
UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),,11.0,9.0,203.0,0.0,0.0,0.0,87.0,13.0,3.7,13.3,10.0,2.0,6.0,1.0,4.0,0.0,54.0,2.0,3.0,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,4.0,4.0,152.0,0.0,0.0,0.0,96.0,4.0,-17.5,-32.9,6.0,2.0,5.0,2.0,0.0,1.0,36.0,0.0,1.0,
