"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2003-04,23.0,CHI,NBA,50:27,11.0,21.0,6.0,12.0,6.0,15.0,7.0,8.0,3.0,12.0,12.0,14.0,4.0,3.0,9.0,6.0,29.0,26.0
2004-05,24.0,CHI,NBA,54:27,13.0,30.0,6.0,13.0,9.0,19.0,10.0,12.0,3.0,12.0,13.0,14.0,6.0,2.0,8.0,6.0,34.0,27.7
2005-06,25.0,CHI,NBA,50:34,11.0,24.0,4.0,9.0,9.0,19.0,17.0,22.0,2.0,11.0,13.0,17.0,7.0,2.0,8.0,6.0,33.0,33.4
2006-07,26.0,CHI,NBA,48:34,11.0,23.0,6.0,12.0,11.0,20.0,9.0,12.0,4.0,10.0,10.0,13.0,4.0,2.0,6.0,6.0,33.0,28.5
2007-08,27.0,CHI,NBA,46:22,14.0,23.0,4.0,9.0,12.0,20.0,9.0,11.0,2.0,10.0,12.0,14.0,5.0,4.0,6.0,6.0,38.0,34.8
2008-09,28.0,CHI,NBA,45:34,10.0,23.0,5.0,8.0,7.0,17.0,10.0,10.0,2.0,6.0,7.0,8.0,5.0,2.0,5.0,5.0,31.0,24.5
2009-10,29.0,CHI,NBA,47:12,11.0,20.0,4.0,9.0,7.0,13.0,7.0,8.0,2.0,8.0,9.0,11.0,4.0,3.0,5.0,6.0,30.0,23.9
2010-11,30.0,TOT,NBA,47:54,8.0,16.0,4.0,9.0,7.0,14.0,9.0,9.0,2.0,6.0,8.0,12.0,4.0,2.0,6.0,6.0,22.0,21.4
2010-11,30.0,WAS,NBA,47:54,8.0,16.0,3.0,9.0,7.0,14.0,9.0,9.0,2.0,6.0,6.0,12.0,4.0,2.0,6.0,5.0,22.0,21.4
2010-11,30.0,ATL,NBA,40:57,7.0,13.0,4.0,6.0,5.0,9.0,5.0,5.0,2.0,6.0,8.0,8.0,2.0,2.0,4.0,6.0,21.0,17.5
2011-12,31.0,ATL,NBA,43:56,7.0,13.0,4.0,6.0,4.0,8.0,5.0,6.0,2.0,6.0,7.0,9.0,3.0,2.0,5.0,6.0,22.0,21.2
2012-13,32.0,CHI,NBA,50:11,9.0,15.0,6.0,7.0,6.0,10.0,8.0,9.0,2.0,7.0,9.0,11.0,5.0,2.0,5.0,6.0,25.0,24.0
2013-14,33.0,CHI,NBA,53:08,8.0,15.0,5.0,9.0,6.0,10.0,7.0,10.0,2.0,6.0,7.0,11.0,4.0,3.0,5.0,6.0,19.0,18.8
2014-15,34.0,CHI,NBA,38:08,7.0,17.0,4.0,7.0,6.0,13.0,6.0,10.0,3.0,4.0,5.0,8.0,3.0,1.0,5.0,5.0,20.0,15.8
2015-16,35.0,TOT,NBA,34:24,6.0,11.0,3.0,5.0,4.0,7.0,5.0,6.0,1.0,5.0,5.0,6.0,2.0,1.0,2.0,6.0,17.0,16.3
2015-16,35.0,CHI,NBA,34:24,6.0,11.0,3.0,5.0,4.0,7.0,5.0,6.0,1.0,5.0,5.0,6.0,2.0,1.0,2.0,6.0,17.0,16.3
2015-16,35.0,ATL,NBA,15:23,1.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,4.8
Career,,,,54:27,14.0,30.0,6.0,13.0,12.0,20.0,17.0,22.0,4.0,12.0,13.0,17.0,7.0,4.0,9.0,6.0,38.0,34.8
,,,,,,,,,,,,,,,,,,,,,,
11 Seasons,,CHI,NBA,54:27,14.0,30.0,6.0,13.0,12.0,20.0,17.0,22.0,4.0,12.0,13.0,17.0,7.0,4.0,9.0,6.0,38.0,34.8
3 Seasons,,ATL,NBA,43:56,7.0,13.0,4.0,6.0,5.0,9.0,5.0,6.0,2.0,6.0,8.0,9.0,3.0,2.0,5.0,6.0,22.0,21.2
1 Season,,WAS,NBA,47:54,8.0,16.0,3.0,9.0,7.0,14.0,9.0,9.0,2.0,6.0,6.0,12.0,4.0,2.0,6.0,5.0,22.0,21.4
