"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2005-06,22,CLE,NBA,SG,3.0,0.0,4.0,0.0,21.8,0.5,0.0,0.0,0.0,0.5,0.5,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,
2006-07,23,CLE,NBA,SG,20.0,20.0,616.0,0.381,12.4,0.693,0.376,0.063,0.095,0.159,0.307,0.397,0.465,0.083,0.278,0.433,0.345,0.558,0.95,0.053,9.0,0.362,0.429,0.0,0.0,
2007-08,24,CLE,NBA,SG,8.0,0.0,111.0,0.385,12.9,0.654,0.385,0.038,0.115,0.115,0.346,0.353,0.3,0.0,0.333,0.667,0.444,0.5,1.0,0.0,0.0,0.333,0.667,0.0,0.0,
2008-09,25,CLE,NBA,SF,11.0,0.0,91.0,0.5,13.0,0.6,0.4,0.05,0.1,0.05,0.4,0.667,0.75,1.0,0.5,0.0,0.25,0.5,1.0,0.0,0.0,0.125,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,28,BOS,NBA,SF,10.0,0.0,40.0,0.333,16.5,0.444,0.333,0.0,0.0,0.111,0.556,0.5,0.667,,,0.0,0.2,0.5,1.0,0.0,0.0,0.0,,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,52.0,20.0,862.0,0.386,15.3,0.671,0.374,0.057,0.093,0.146,0.329,0.412,0.478,0.143,0.304,0.417,0.333,0.544,0.963,0.041,9.0,0.309,0.44,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,32.0,1359.0,0.386,15.3,0.671,0.374,0.057,0.093,0.146,0.329,0.412,0.478,0.143,0.304,0.417,0.333,0.544,0.963,0.041,14.0,0.309,0.44,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (4 Yrs),CLE (4 Yrs),CLE (4 Yrs),CLE (4 Yrs),,42.0,20.0,822.0,0.388,15.0,0.679,0.376,0.059,0.097,0.148,0.321,0.41,0.472,0.143,0.304,0.429,0.342,0.545,0.962,0.042,9.0,0.329,0.44,0.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,10.0,0.0,40.0,0.333,16.5,0.444,0.333,0.0,0.0,0.111,0.556,0.5,0.667,,,0.0,0.2,0.5,1.0,0.0,0.0,0.0,,0.0,0.0,
