"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Sasha PavloviÄ,,3.1,1.7,0.9,0.8,0.5,0.4,0.3,0.2,0.1,-1.2
Ben McLemore,73.7,3.3,2.5,0.8,0.8,0.5,0.4,0.3,0.2,0.2,
Bucky Bockhorn,72.1,3.1,1.5,1.3,1.1,0.5,0.3,0.1,,,
Rodney McGruder,71.4,2.9,1.9,1.2,1.0,0.8,0.7,0.5,,,
Jon Sundvold,69.5,3.0,1.5,1.2,1.0,1.0,0.8,0.2,0.2,0.0,
Quinton Ross,67.3,3.2,1.7,1.6,0.7,0.6,0.0,-0.1,,,
Dante Exum,66.9,2.9,1.2,1.0,0.7,0.6,0.4,-0.1,-0.1,,
Troy Brown Jr.,66.6,2.9,2.4,1.4,0.8,0.6,0.5,,,,
Danuel House Jr.,66.0,3.6,2.3,1.3,1.0,0.7,0.6,0.5,0.0,,
Shabazz Napier,65.4,3.2,2.0,1.7,0.6,0.5,0.1,,,,
Glenn Robinson III,65.2,2.9,2.5,0.8,0.7,0.6,0.3,0.1,,,
