Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2006-07,24,GSW,NBA,SF,11.0,0.0,209.0,11.7,0.509,0.551,0.735,6.7,16.0,11.2,4.3,1.2,3.4,9.7,15.2,0.3,0.1,0.4,0.086,-1.7,0.1,-1.6,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,26,ORL,NBA,SG,24.0,0.0,618.0,14.0,0.622,0.552,0.374,3.9,8.7,6.3,3.9,1.6,1.7,9.8,17.6,1.1,0.7,1.8,0.14,0.7,1.7,2.4,0.7,
2009-10,27,ORL,NBA,SF,14.0,0.0,282.0,15.4,0.633,0.763,0.375,0.9,7.7,4.4,6.4,1.8,1.7,6.0,17.4,0.7,0.5,1.2,0.203,3.6,2.0,5.7,0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,29,BOS,NBA,SG,20.0,1.0,393.0,4.3,0.431,0.74,0.219,3.8,8.5,6.2,0.8,1.9,1.0,10.1,11.1,-0.3,0.5,0.3,0.031,-4.1,0.8,-3.3,-0.1,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,69.0,1.0,1502.0,11.4,0.573,0.633,0.391,3.7,9.5,6.6,3.6,1.7,1.8,9.1,15.5,1.8,1.8,3.6,0.116,-0.3,1.3,1.0,1.1,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,1.0,1785.0,11.4,0.573,0.633,0.391,3.7,9.5,6.6,3.6,1.7,1.8,9.1,15.5,2.1,2.2,4.3,0.116,-0.3,1.3,1.0,1.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),ORL (2 Yrs),,38.0,0.0,900.0,14.4,0.625,0.618,0.374,3.0,8.4,5.7,4.7,1.6,1.7,8.6,17.5,1.8,1.2,3.0,0.16,1.6,1.8,3.4,1.2,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,20.0,1.0,393.0,4.3,0.431,0.74,0.219,3.8,8.5,6.2,0.8,1.9,1.0,10.1,11.1,-0.3,0.5,0.3,0.031,-4.1,0.8,-3.3,-0.1,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,11.0,0.0,209.0,11.7,0.509,0.551,0.735,6.7,16.0,11.2,4.3,1.2,3.4,9.7,15.2,0.3,0.1,0.4,0.086,-1.7,0.1,-1.6,0.0,
