Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2004-05,22,CLE,NBA,PF,54,0,863,6.1,12.0,.513,0.0,0.1,.000,6.1,11.8,.518,.513,4.2,7.9,.535,6.8,9.2,15.9,1.7,2.5,2.4,1.6,7.6,16.5,117,101,
2005-06,23,CLE,NBA,C,48,4,760,5.6,10.5,.527,0.0,0.1,.000,5.6,10.5,.530,.527,4.3,8.4,.513,5.4,11.1,16.5,1.3,2.2,1.3,1.9,8.3,15.4,113,101,
2006-07,24,CLE,NBA,C,81,6,1932,5.2,11.0,.476,0.0,0.2,.000,5.2,10.7,.487,.476,4.5,7.3,.616,5.2,9.7,14.9,2.1,2.1,1.4,1.8,7.4,15.0,113,98,
2007-08,25,CLE,NBA,C,48,13,1320,5.5,11.9,.461,0.0,0.1,.000,5.5,11.8,.464,.461,2.0,3.3,.598,5.4,10.7,16.1,2.1,1.5,1.0,2.4,5.4,12.9,103,104,
2008-09,26,CLE,NBA,PF,81,42,2306,6.3,11.8,.536,0.0,0.0,.000,6.3,11.8,.538,.536,3.6,5.9,.616,3.9,9.7,13.6,1.9,1.8,1.5,1.9,5.6,16.3,116,100,DPOY-13
2009-10,27,CLE,NBA,PF,76,7,2166,6.5,11.3,.572,0.0,0.1,.200,6.5,11.2,.576,.573,2.8,4.2,.663,4.6,9.4,14.0,2.1,1.7,1.6,1.6,5.4,15.8,123,102,"DPOY-9,6MOY-3,DEF2"
2010-11,28,CLE,NBA,C,31,31,994,5.9,11.2,.528,0.0,0.1,.000,5.9,11.1,.533,.528,2.8,4.2,.667,5.1,10.5,15.6,2.3,1.4,2.0,2.1,4.5,14.6,114,108,
2011-12,29,CLE,NBA,C,25,25,785,7.6,14.9,.514,0.0,0.3,.000,7.6,14.6,.523,.514,2.9,4.3,.672,7.3,11.9,19.2,2.9,2.3,1.1,3.0,4.2,18.1,110,103,
2012-13,30,CLE,NBA,C,25,25,901,8.0,16.7,.478,0.0,0.3,.000,8.0,16.4,.486,.478,4.4,5.9,.755,8.0,12.9,20.8,4.8,2.1,0.8,2.5,3.9,20.4,117,104,
2013-14,31,CLE,NBA,C,65,29,1800,6.5,13.1,.495,0.0,0.2,.000,6.5,12.9,.502,.495,2.6,3.9,.681,5.4,12.7,18.0,4.0,2.0,1.1,2.1,4.7,15.6,114,103,
2014-15,32,CLE,NBA,C,26,26,636,9.1,16.3,.555,0.0,0.2,.000,9.1,16.2,.561,.555,2.7,3.7,.733,4.7,9.2,13.9,2.9,1.6,1.3,2.9,4.7,20.8,114,105,
2015-16,33,2TM,NBA,C,53,0,496,5.4,12.6,.427,0.0,0.1,.000,5.4,12.5,.431,.427,3.2,5.1,.640,3.7,10.5,14.3,3.5,1.6,1.0,2.2,7.1,14.0,103,102,
2015-16,33,CLE,NBA,C,31,0,310,5.3,12.6,.421,0.0,0.2,.000,5.3,12.5,.427,.421,2.7,3.5,.762,4.0,11.1,15.1,3.3,1.8,0.8,2.7,5.8,13.3,100,102,
2015-16,33,GSW,NBA,C,22,0,186,5.5,12.5,.438,0.0,0.0,,5.5,12.5,.438,.438,4.2,7.5,.552,3.4,9.6,13.0,3.9,1.3,1.3,1.6,9.1,15.1,108,103,
2016-17,34,GSW,NBA,C,14,1,92,2.6,7.3,.357,0.0,0.0,,2.6,7.3,.357,.357,4.2,5.8,.727,6.3,7.8,14.1,5.2,1.6,1.6,4.2,8.4,9.4,104,104,
