"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2004-05,21.0,BOS,NBA,38:53,8.0,12.0,3.0,7.0,6.0,8.0,4.0,6.0,2.0,6.0,8.0,7.0,4.0,1.0,4.0,5.0,19.0,15.4
2005-06,22.0,BOS,NBA,50:06,12.0,22.0,4.0,9.0,8.0,14.0,5.0,7.0,4.0,10.0,10.0,12.0,5.0,4.0,5.0,6.0,30.0,24.7
2006-07,23.0,BOS,NBA,54:16,11.0,19.0,5.0,8.0,10.0,15.0,12.0,14.0,3.0,10.0,11.0,11.0,4.0,2.0,6.0,6.0,31.0,30.2
2007-08,24.0,TOT,NBA,41:35,8.0,16.0,4.0,8.0,7.0,12.0,7.0,8.0,3.0,8.0,8.0,11.0,4.0,3.0,5.0,6.0,20.0,20.4
2007-08,24.0,SEA,NBA,33:02,8.0,15.0,3.0,6.0,7.0,12.0,6.0,8.0,2.0,7.0,7.0,8.0,3.0,2.0,5.0,5.0,19.0,20.4
2007-08,24.0,CLE,NBA,41:35,8.0,16.0,4.0,8.0,6.0,10.0,7.0,8.0,3.0,8.0,8.0,11.0,4.0,3.0,5.0,6.0,20.0,18.8
2008-09,25.0,CLE,NBA,43:12,10.0,19.0,5.0,11.0,9.0,15.0,7.0,8.0,3.0,8.0,9.0,10.0,8.0,1.0,7.0,6.0,25.0,24.0
2009-10,26.0,CLE,NBA,42:50,11.0,18.0,3.0,6.0,11.0,16.0,9.0,9.0,3.0,7.0,8.0,12.0,3.0,3.0,6.0,5.0,27.0,21.1
2010-11,27.0,BOS,NBA,30:57,5.0,11.0,2.0,4.0,4.0,8.0,2.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,12.0,13.1
2011-12,28.0,DAL,NBA,44:20,10.0,17.0,5.0,6.0,9.0,15.0,8.0,8.0,2.0,5.0,7.0,10.0,5.0,2.0,6.0,5.0,25.0,23.5
Career,,,,54:16,12.0,22.0,5.0,11.0,11.0,16.0,12.0,14.0,4.0,10.0,11.0,12.0,8.0,4.0,7.0,6.0,31.0,30.2
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,BOS,NBA,54:16,12.0,22.0,5.0,9.0,10.0,15.0,12.0,14.0,4.0,10.0,11.0,12.0,5.0,4.0,6.0,6.0,31.0,30.2
3 Seasons,,CLE,NBA,43:12,11.0,19.0,5.0,11.0,11.0,16.0,9.0,9.0,3.0,8.0,9.0,12.0,8.0,3.0,7.0,6.0,27.0,24.0
1 Season,,DAL,NBA,44:20,10.0,17.0,5.0,6.0,9.0,15.0,8.0,8.0,2.0,5.0,7.0,10.0,5.0,2.0,6.0,5.0,25.0,23.5
1 Season,,SEA,NBA,33:02,8.0,15.0,3.0,6.0,7.0,12.0,6.0,8.0,2.0,7.0,7.0,8.0,3.0,2.0,5.0,5.0,19.0,20.4
