"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2005-06,23,BOS,NBA,PF,61,33,1376,0,1,27,69,3,0.4,3.1,11,21,38,16,68,4,140,10,32,ROY-9
2006-07,24,BOS,NBA,PF,73,60,2275,0,0,31,66,3,-8.0,-9.4,36,29,84,23,110,11,280,18,44,
2007-08,25,MIN,NBA,PF,82,74,2434,0,0,30,70,0,-6.3,3.3,36,28,74,14,104,4,330,25,47,
2008-09,26,MIN,NBA,SF,82,76,2614,0,0,62,37,0,-7.3,-5.1,48,45,88,22,80,3,307,17,37,
2009-10,27,MIN,NBA,SF,76,64,2210,0,0,68,32,0,-9.7,0.7,43,23,83,13,61,4,279,15,35,
2010-11,28,LAC,NBA,SF,76,62,2095,0,2,92,6,0,-2.5,2.3,26,11,72,10,38,3,275,4,11,
2011-12,29,LAC,NBA,SF,32,2,425,0,0,86,13,0,-6.8,-11.3,7,3,19,4,5,1,27,1,1,
2012-13,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2013-14,31,OKC,NBA,SF,5,0,34,0,0,93,7,0,7.7,0.9,0,0,3,1,0,0,3,0,1,
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2015-16,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,487,371,13463,0,1,54,45,1,-6.1,-1.6,207,160,461,103,466,30,1641,90,208,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,62,2267,0,1,54,45,1,-6.1,-1.6,35,27,78,17,78,5,276,15,35,
,,,,,,,,,,,,,,,,,,,,,,,,
MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),,240,214,7258,0,0,53,47,0,-7.7,-0.5,127,96,245,49,245,11,916,57,119,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,134,93,3651,0,0,29,67,3,-4.8,-4.7,47,50,122,39,178,15,420,28,76,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,108,64,2520,0,2,91,7,0,-3.3,0.0,33,14,91,14,43,4,302,5,12,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,5,0,34,0,0,93,7,0,7.7,0.9,0,0,3,1,0,0,3,0,1,
