Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2005-06,22,IND,NBA,SF,6.0,3.0,162.0,4.0,7.6,0.529,2.0,3.6,0.563,2.0,4.0,0.5,0.662,0.9,0.9,1.0,1.6,5.3,6.9,2.2,0.9,1.6,1.6,4.4,10.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,IND,NBA,SF,5.0,5.0,183.0,8.5,17.7,0.478,1.6,4.5,0.348,6.9,13.2,0.522,0.522,2.8,3.1,0.875,1.2,4.3,5.5,3.1,1.2,0.2,1.4,2.4,21.2,
2011-12,28,IND,NBA,SF,11.0,11.0,420.0,5.9,14.9,0.397,2.2,6.3,0.356,3.7,8.7,0.426,0.471,2.0,2.4,0.821,1.3,4.0,5.3,2.3,0.5,0.3,2.5,2.7,16.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,30,LAC,NBA,SF,13.0,0.0,134.0,3.0,10.7,0.275,1.3,5.9,0.227,1.6,4.8,0.333,0.338,1.9,2.4,0.778,0.5,4.8,5.4,0.8,1.6,0.3,0.8,6.4,9.1,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,35.0,19.0,899.0,5.6,13.5,0.417,1.9,5.4,0.358,3.7,8.2,0.456,0.488,1.9,2.3,0.842,1.2,4.4,5.6,2.2,0.9,0.5,1.8,3.5,15.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,22.0,19.0,765.0,6.1,14.0,0.436,2.0,5.3,0.384,4.1,8.8,0.468,0.508,1.9,2.3,0.854,1.3,4.4,5.7,2.5,0.8,0.6,2.0,3.0,16.2,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,13.0,0.0,134.0,3.0,10.7,0.275,1.3,5.9,0.227,1.6,4.8,0.333,0.338,1.9,2.4,0.778,0.5,4.8,5.4,0.8,1.6,0.3,0.8,6.4,9.1,
