"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2006-07,20,UTA,NBA,WCS,GSW,W (4-1),1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2007-08,21,UTA,NBA,WC1,HOU,W (4-2),3.0,2.0,0.0,0.3,0.0,0.3,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
2007-08,21,UTA,NBA,WCS,LAL,L (2-4),4.0,5.0,3.0,1.0,0.0,0.3,0.0,5.0,12.0,0.417,2.0,8.0,0.25,3.0,4.0,0.75,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,1.0,4.0,12.0,
2008-09,22,UTA,NBA,WC1,LAL,L (1-4),5.0,11.6,3.4,1.4,0.2,0.4,0.2,6.0,20.0,0.3,2.0,8.0,0.25,4.0,12.0,0.333,0.35,3.0,4.0,0.75,2.0,5.0,7.0,1.0,2.0,1.0,3.0,8.0,17.0,
2009-10,23,UTA,NBA,WC1,DEN,W (4-2),6.0,32.7,13.7,2.5,2.7,0.5,0.3,27.0,60.0,0.45,8.0,28.0,0.286,19.0,32.0,0.594,0.517,20.0,22.0,0.909,3.0,12.0,15.0,16.0,3.0,2.0,13.0,28.0,82.0,
2009-10,23,UTA,NBA,WCS,LAL,L (0-4),4.0,35.0,15.5,2.5,3.0,0.8,1.0,20.0,46.0,0.435,7.0,18.0,0.389,13.0,28.0,0.464,0.511,15.0,17.0,0.882,2.0,8.0,10.0,12.0,3.0,4.0,6.0,20.0,62.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,29,IND,NBA,EC1,TOR,L (3-4),7.0,13.1,3.4,3.4,0.6,0.1,0.1,10.0,38.0,0.263,2.0,20.0,0.1,8.0,18.0,0.444,0.289,2.0,3.0,0.667,4.0,20.0,24.0,4.0,1.0,1.0,3.0,7.0,24.0,
2016-17,30,IND,NBA,EC1,CLE,L (0-4),4.0,20.5,7.3,2.0,0.3,0.5,0.3,11.0,24.0,0.458,5.0,16.0,0.313,6.0,8.0,0.75,0.563,2.0,2.0,1.0,4.0,4.0,8.0,1.0,2.0,1.0,2.0,12.0,29.0,
2017-18,31,TOR,NBA,EC1,WAS,W (4-2),6.0,21.3,9.3,1.7,0.7,0.7,0.2,17.0,40.0,0.425,12.0,31.0,0.387,5.0,9.0,0.556,0.575,10.0,11.0,0.909,0.0,10.0,10.0,4.0,4.0,1.0,5.0,10.0,56.0,
