"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Hakim Warrick,,4.7,4.0,3.7,3.4,3.3,0.8,0.5,0.0
Tyler Hansbrough,94.2,4.4,3.9,3.8,3.4,3.0,1.0,0.7,
Frank Brickowski,93.4,4.7,4.1,3.8,3.6,3.4,1.1,1.0,0.4
Jan van Breda Kolff,90.7,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6
Len Chappell,88.4,4.7,3.7,3.6,3.2,2.1,0.5,0.1,0.1
James Jones,87.8,4.7,4.0,3.7,2.5,2.2,1.0,0.9,0.0
Jaxson Hayes,87.7,5.1,3.9,3.7,3.5,2.5,1.5,,
Terrence Ross,86.7,4.3,4.2,3.6,3.5,3.0,2.4,0.9,0.3
Gary Trent,86.0,5.5,4.0,3.3,3.1,3.0,1.7,0.4,0.1
Dave Stallworth,85.7,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0.0
Nikola MirotiÄ,85.5,5.7,4.0,3.9,3.8,3.5,,,
