"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2007-08,24,BOS,NBA,C,23.0,1.0,270.0,0.0,0.0,0.0,18.0,82.0,2.5,-4.7,0.0,5.0,17.0,2.0,32.0,8.0,9.0,4.0,12.0,
2008-09,25,BOS,NBA,PF,2.0,0.0,24.0,0.0,0.0,0.0,99.0,1.0,-30.4,-32.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,
2009-10,26,CLE,NBA,SF,3.0,0.0,9.0,0.0,0.0,9.0,91.0,0.0,-66.9,-69.7,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,
2010-11,27,MEM,NBA,C,4.0,0.0,14.0,0.0,0.0,0.0,82.0,18.0,-37.6,-37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,32.0,1.0,317.0,0.0,0.0,0.0,29.0,71.0,-3.8,-10.1,0.0,6.0,21.0,3.0,35.0,9.0,9.0,4.0,16.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,3.0,812.0,0.0,0.0,0.0,29.0,71.0,-3.8,-10.1,0.0,15.0,54.0,8.0,90.0,23.0,23.0,10.0,41.0,
,,,,,,,,,,,,,,,,,,,,,,,,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,25.0,1.0,294.0,0.0,0.0,0.0,25.0,75.0,-0.2,-6.9,0.0,6.0,20.0,2.0,34.0,9.0,9.0,4.0,12.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,4.0,0.0,14.0,0.0,0.0,0.0,82.0,18.0,-37.6,-37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,3.0,0.0,9.0,0.0,0.0,9.0,91.0,0.0,-66.9,-69.7,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,
