Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,20,POR,NBA,PF,8.0,0.0,28.0,6.0,10.0,0.6,0.0,1.0,0.0,6.0,9.0,0.667,0.6,0.0,0.0,,2.0,8.0,10.0,2.0,1.0,0.0,2.0,1.0,12.0,0.0,
2008-09,21,IND,NBA,PF,33.0,0.0,279.0,35.0,83.0,0.422,0.0,10.0,0.0,35.0,73.0,0.479,0.422,10.0,13.0,0.769,26.0,48.0,74.0,16.0,12.0,16.0,12.0,41.0,80.0,0.0,
2009-10,22,IND,NBA,C,42.0,3.0,524.0,76.0,146.0,0.521,8.0,23.0,0.348,68.0,123.0,0.553,0.548,19.0,38.0,0.5,40.0,87.0,127.0,44.0,17.0,16.0,19.0,74.0,179.0,0.0,
2010-11,23,IND,NBA,PF,72.0,51.0,1597.0,211.0,386.0,0.547,23.0,60.0,0.383,188.0,326.0,0.577,0.576,88.0,119.0,0.739,109.0,273.0,382.0,150.0,47.0,57.0,93.0,165.0,533.0,0.0,
2011-12,24,LAL,NBA,PF,50.0,6.0,718.0,56.0,118.0,0.475,3.0,7.0,0.429,53.0,111.0,0.477,0.487,23.0,36.0,0.639,61.0,110.0,171.0,51.0,15.0,18.0,31.0,74.0,138.0,0.0,
2012-13,25,2TM,NBA,PF,67.0,22.0,1487.0,156.0,343.0,0.455,24.0,84.0,0.286,132.0,259.0,0.51,0.49,65.0,85.0,0.765,93.0,232.0,325.0,141.0,32.0,27.0,66.0,131.0,401.0,0.0,
2012-13,25,ORL,NBA,PF,41.0,3.0,685.0,60.0,153.0,0.392,17.0,55.0,0.309,43.0,98.0,0.439,0.448,22.0,30.0,0.733,41.0,96.0,137.0,70.0,10.0,12.0,28.0,65.0,159.0,0.0,
2012-13,25,CHA,NBA,PF,26.0,19.0,802.0,96.0,190.0,0.505,7.0,29.0,0.241,89.0,161.0,0.553,0.524,43.0,55.0,0.782,52.0,136.0,188.0,71.0,22.0,15.0,38.0,66.0,242.0,0.0,
2013-14,26,CHA,NBA,PF,78.0,78.0,2360.0,247.0,566.0,0.436,105.0,291.0,0.361,142.0,275.0,0.516,0.529,62.0,85.0,0.729,85.0,288.0,373.0,333.0,58.0,46.0,83.0,189.0,661.0,0.0,
2014-15,27,MIA,NBA,PF,17.0,4.0,296.0,28.0,53.0,0.528,8.0,19.0,0.421,20.0,34.0,0.588,0.604,8.0,13.0,0.615,7.0,38.0,45.0,33.0,12.0,3.0,22.0,41.0,72.0,0.0,
2015-16,28,MIA,NBA,PF,42.0,1.0,595.0,55.0,148.0,0.372,12.0,49.0,0.245,43.0,99.0,0.434,0.412,28.0,40.0,0.7,22.0,83.0,105.0,81.0,18.0,7.0,30.0,68.0,150.0,0.0,
2016-17,29,MIA,NBA,PF,22.0,14.0,381.0,44.0,118.0,0.373,13.0,31.0,0.419,31.0,87.0,0.356,0.428,6.0,9.0,0.667,23.0,51.0,74.0,50.0,10.0,4.0,23.0,31.0,107.0,0.0,
2017-18,30,DAL,NBA,PF,2.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,433.0,179.0,8271.0,914.0,1972.0,0.463,196.0,576.0,0.34,718.0,1396.0,0.514,0.513,309.0,438.0,0.705,468.0,1218.0,1686.0,901.0,222.0,194.0,381.0,817.0,2333.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,34.0,1566.0,173.0,373.0,0.463,37.0,109.0,0.34,136.0,264.0,0.514,0.513,59.0,83.0,0.705,89.0,231.0,319.0,171.0,42.0,37.0,72.0,155.0,442.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,147.0,54.0,2400.0,322.0,615.0,0.524,31.0,93.0,0.333,291.0,522.0,0.557,0.549,117.0,170.0,0.688,175.0,408.0,583.0,210.0,76.0,89.0,124.0,280.0,792.0,0.0,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,81.0,19.0,1272.0,127.0,319.0,0.398,33.0,99.0,0.333,94.0,220.0,0.427,0.45,42.0,62.0,0.677,52.0,172.0,224.0,164.0,40.0,14.0,75.0,140.0,329.0,0.0,
CHA (2 Yrs),CHA (2 Yrs),CHA (2 Yrs),CHA (2 Yrs),,104.0,97.0,3162.0,343.0,756.0,0.454,112.0,320.0,0.35,231.0,436.0,0.53,0.528,105.0,140.0,0.75,137.0,424.0,561.0,404.0,80.0,61.0,121.0,255.0,903.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,50.0,6.0,718.0,56.0,118.0,0.475,3.0,7.0,0.429,53.0,111.0,0.477,0.487,23.0,36.0,0.639,61.0,110.0,171.0,51.0,15.0,18.0,31.0,74.0,138.0,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,41.0,3.0,685.0,60.0,153.0,0.392,17.0,55.0,0.309,43.0,98.0,0.439,0.448,22.0,30.0,0.733,41.0,96.0,137.0,70.0,10.0,12.0,28.0,65.0,159.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,8.0,0.0,28.0,6.0,10.0,0.6,0.0,1.0,0.0,6.0,9.0,0.667,0.6,0.0,0.0,,2.0,8.0,10.0,2.0,1.0,0.0,2.0,1.0,12.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,2.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
