"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2007-08,21,PHI,NBA,PF,6.0,0.0,82.0,0.444,0.471,0.0,0.444,1.0,0.506,0.222,0.056,97.0,97.0,0.0,89.0,132.0,94.0,73.0,25.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,24,NOH,NBA,C,6.0,0.0,58.0,0.467,0.467,,0.467,,0.467,0.0,0.0,102.0,96.0,,94.0,,86.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,30,WAS,NBA,C,13.0,0.0,157.0,0.487,0.552,0.3,0.526,0.714,0.565,0.359,0.256,107.0,110.0,84.0,102.0,93.0,102.0,133.0,81.0,
2017-18,31,WAS,NBA,C,1.0,0.0,2.0,,,,,,,,,,,,,,,,,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,26.0,0.0,299.0,0.472,0.508,0.273,0.493,0.778,0.532,0.25,0.153,103.0,103.0,76.0,97.0,101.0,97.0,90.0,50.0,
,,,,,,,,,,,,,,,,,,,,,,,,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,14.0,0.0,159.0,0.487,0.552,0.3,0.526,0.714,0.565,0.359,0.256,106.0,110.0,84.0,102.0,93.0,102.0,133.0,81.0,
NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),,6.0,0.0,58.0,0.467,0.467,,0.467,,0.467,0.0,0.0,102.0,96.0,,94.0,,86.0,0.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,6.0,0.0,82.0,0.444,0.471,0.0,0.444,1.0,0.506,0.222,0.056,97.0,97.0,0.0,89.0,132.0,94.0,73.0,25.0,
