"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2008-09,20,MIA,NBA,PF,7.0,0.0,178.0,0.386,13.4,0.852,0.261,0.102,0.102,0.386,0.148,0.4,0.609,0.333,0.333,0.294,0.308,0.333,0.75,0.023,1.0,0.462,0.333,0.0,0.0,
2009-10,21,MIA,NBA,PF,5.0,5.0,135.0,0.449,9.2,0.959,0.429,0.082,0.204,0.245,0.041,0.447,0.524,0.0,0.4,0.5,0.5,0.571,1.0,0.082,4.0,0.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,25,MIA,NBA,SF,4.0,0.0,23.0,0.5,5.7,1.0,0.6,0.2,0.0,0.2,0.0,0.5,0.667,0.5,,0.0,,0.2,,0.2,2.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,27,HOU,NBA,PF,5.0,0.0,80.0,0.478,11.2,0.87,0.217,0.283,0.239,0.13,0.13,0.5,0.8,0.385,0.273,0.667,0.333,0.6,1.0,0.022,0.0,0.5,0.667,1.0,0.0,
2016-17,28,MIL,NBA,PF,4.0,0.0,48.0,0.35,11.7,0.75,0.2,0.3,0.15,0.1,0.25,0.267,0.25,0.167,0.333,0.5,0.6,0.75,1.0,0.0,0.0,0.4,0.5,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,25.0,5.0,464.0,0.423,10.2,0.878,0.3,0.16,0.155,0.263,0.122,0.428,0.594,0.294,0.333,0.375,0.385,0.475,0.9,0.042,7.0,0.423,0.455,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,16.0,1522.0,0.423,10.2,0.878,0.3,0.16,0.155,0.263,0.122,0.428,0.594,0.294,0.333,0.375,0.385,0.475,0.9,0.042,23.0,0.423,0.455,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,16.0,5.0,336.0,0.415,9.4,0.898,0.34,0.102,0.129,0.327,0.102,0.424,0.58,0.267,0.368,0.333,0.333,0.411,0.8,0.054,7.0,0.4,0.333,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,5.0,0.0,80.0,0.478,11.2,0.87,0.217,0.283,0.239,0.13,0.13,0.5,0.8,0.385,0.273,0.667,0.333,0.6,1.0,0.022,0.0,0.5,0.667,1.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,4.0,0.0,48.0,0.35,11.7,0.75,0.2,0.3,0.15,0.1,0.25,0.267,0.25,0.167,0.333,0.5,0.6,0.75,1.0,0.0,0.0,0.4,0.5,0.0,0.0,
