"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2008-09,23,ORL,NBA,SG,77.0,42.0,1939.0,2.0,90.0,8.0,0.0,0.0,7.8,-0.1,29.0,14.0,75.0,6.0,37.0,5.0,230.0,5.0,29.0,ROY-11
2009-10,24,NJN,NBA,SG,71.0,66.0,2375.0,3.0,91.0,6.0,0.0,0.0,-9.5,1.8,42.0,14.0,77.0,4.0,72.0,10.0,268.0,14.0,42.0,
2010-11,25,HOU,NBA,SG,81.0,1.0,1723.0,6.0,89.0,6.0,0.0,0.0,0.6,-2.8,31.0,16.0,44.0,8.0,49.0,4.0,238.0,8.0,27.0,
2011-12,26,HOU,NBA,SG,58.0,26.0,1757.0,1.0,91.0,9.0,0.0,0.0,1.4,2.4,37.0,10.0,52.0,6.0,22.0,4.0,204.0,6.0,31.0,
2012-13,27,BOS,NBA,SG,78.0,39.0,1941.0,3.0,83.0,14.0,0.0,0.0,-1.4,-1.8,41.0,23.0,60.0,4.0,29.0,3.0,322.0,4.0,25.0,
2013-14,28,2TM,NBA,SG,79.0,47.0,1973.0,21.0,72.0,7.0,0.0,0.0,2.1,2.8,41.0,10.0,51.0,7.0,36.0,10.0,252.0,11.0,27.0,
2013-14,28,BOS,NBA,SG,30.0,0.0,504.0,1.0,90.0,10.0,0.0,0.0,-4.2,1.1,15.0,1.0,15.0,2.0,9.0,4.0,74.0,3.0,10.0,
2013-14,28,MEM,NBA,SG,49.0,47.0,1469.0,28.0,66.0,6.0,0.0,0.0,4.3,3.5,26.0,9.0,36.0,5.0,27.0,6.0,178.0,8.0,17.0,
2014-15,29,MEM,NBA,SG,77.0,74.0,2354.0,3.0,60.0,37.0,0.0,0.0,2.1,-3.2,45.0,17.0,54.0,5.0,34.0,3.0,336.0,5.0,18.0,
2015-16,30,2TM,NBA,SG,79.0,65.0,2334.0,0.0,65.0,34.0,0.0,0.0,2.9,4.9,31.0,20.0,69.0,4.0,42.0,6.0,315.0,12.0,27.0,
2015-16,30,MEM,NBA,SG,51.0,37.0,1489.0,0.0,60.0,39.0,0.0,0.0,0.8,5.0,22.0,14.0,38.0,3.0,29.0,2.0,170.0,8.0,18.0,
2015-16,30,CHO,NBA,SG,28.0,28.0,845.0,0.0,74.0,26.0,0.0,0.0,6.6,4.8,9.0,6.0,31.0,1.0,13.0,4.0,145.0,4.0,9.0,
2016-17,31,NYK,NBA,SG,77.0,74.0,2459.0,1.0,72.0,27.0,0.0,0.0,-5.0,-2.9,45.0,17.0,71.0,0.0,38.0,2.0,418.0,9.0,22.0,
2017-18,32,NYK,NBA,SG,76.0,69.0,2310.0,0.0,45.0,54.0,2.0,0.0,-5.5,-3.7,54.0,17.0,45.0,1.0,41.0,3.0,411.0,3.0,29.0,
2018-19,33,2TM,NBA,SG,34.0,6.0,428.0,3.0,80.0,17.0,0.0,0.0,-6.6,-2.2,8.0,1.0,12.0,1.0,8.0,6.0,95.0,1.0,5.0,
2018-19,33,NYK,NBA,SG,12.0,2.0,160.0,0.0,83.0,17.0,0.0,0.0,-7.3,2.0,4.0,1.0,6.0,0.0,5.0,3.0,43.0,1.0,0.0,
2018-19,33,DAL,NBA,SG,22.0,4.0,268.0,6.0,78.0,16.0,0.0,0.0,-6.1,-4.6,4.0,0.0,6.0,1.0,3.0,3.0,52.0,0.0,5.0,
2019-20,34,DAL,NBA,SG,24.0,9.0,345.0,0.0,17.0,77.0,6.0,0.0,7.5,2.9,6.0,2.0,14.0,0.0,3.0,0.0,32.0,1.0,0.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,811.0,518.0,21938.0,4.0,74.0,22.0,0.0,0.0,-0.7,-0.3,410.0,161.0,624.0,46.0,411.0,56.0,3121.0,79.0,282.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,52.0,2218.0,4.0,74.0,22.0,0.0,0.0,-0.7,-0.3,41.0,16.0,63.0,5.0,42.0,6.0,316.0,8.0,29.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),,177.0,158.0,5312.0,9.0,62.0,29.0,0.0,0.0,2.3,0.9,93.0,40.0,128.0,13.0,90.0,11.0,684.0,21.0,53.0,
NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),NYK (3 Yrs),,165.0,145.0,4929.0,0.0,60.0,39.0,1.0,0.0,-5.3,-3.1,103.0,35.0,122.0,1.0,84.0,8.0,872.0,13.0,51.0,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,139.0,27.0,3480.0,3.0,90.0,7.0,0.0,0.0,1.0,-0.2,68.0,26.0,96.0,14.0,71.0,8.0,442.0,14.0,58.0,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,108.0,39.0,2445.0,2.0,84.0,13.0,0.0,0.0,-2.0,-1.2,56.0,24.0,75.0,6.0,38.0,7.0,396.0,7.0,35.0,
