"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Anthony Randolph,,1.6,1.5,1.1,0.6,0.5,0.5,,,
Rafael Addison,84.3,1.5,1.5,0.9,0.4,0.4,0.2,,,
John Wallace,82.5,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,
Stanley Johnson,81.4,1.8,1.8,1.0,0.7,0.6,0.5,0.4,0.0,
Reggie Slater,80.8,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1,
Thomas Robinson,79.3,1.6,1.5,0.9,0.6,-0.1,,,,
Tony Brown,78.5,1.8,1.3,0.9,0.5,0.2,0.2,0.0,,
Charles Davis,77.3,2.1,1.5,1.0,0.9,0.5,0.3,-0.2,-0.3,
Michael Ruffin,76.3,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0
Semi Ojeleye,76.1,1.9,1.2,1.2,0.7,0.2,,,,
Henry Walker,74.0,1.9,1.1,0.9,0.5,0.5,,,,
