"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2008-09,20,CHI,NBA,PG,7.0,7.0,313.0,0.492,0.509,0.0,0.492,0.8,0.527,0.208,0.033,107.0,105.0,0.0,98.0,104.0,97.0,68.0,15.0,
2009-10,21,CHI,NBA,PG,5.0,5.0,212.0,0.456,0.462,0.333,0.464,0.818,0.497,0.176,0.048,99.0,94.0,94.0,93.0,108.0,92.0,59.0,22.0,
2010-11,22,CHI,NBA,PG,16.0,16.0,649.0,0.396,0.451,0.248,0.43,0.828,0.499,0.356,0.269,86.0,93.0,69.0,86.0,108.0,92.0,119.0,121.0,
2011-12,23,CHI,NBA,PG,1.0,1.0,37.0,0.391,0.353,0.5,0.457,1.0,0.482,0.087,0.261,87.0,74.0,143.0,94.0,133.0,91.0,32.0,116.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,26,CHI,NBA,PG,12.0,12.0,454.0,0.396,0.414,0.348,0.445,0.897,0.484,0.166,0.281,88.0,85.0,100.0,90.0,120.0,91.0,61.0,105.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,29,MIN,NBA,PG,5.0,0.0,119.0,0.509,0.468,0.7,0.57,0.857,0.591,0.123,0.175,111.0,92.0,194.0,109.0,112.0,106.0,49.0,52.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,32,NYK,NBA,PG,5.0,3.0,175.0,0.476,0.478,0.471,0.524,1.0,0.551,0.107,0.202,102.0,90.0,128.0,97.0,129.0,96.0,43.0,52.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,34,NYK,NBA,PG,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,,0.0,0.0,65.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,52.0,44.0,1962.0,0.426,0.453,0.322,0.459,0.845,0.505,0.232,0.206,93.0,92.0,90.0,91.0,111.0,93.0,80.0,83.0,
,,,,,,,,,,,,,,,,,,,,,,,,
CHI (5 Yrs),CHI (5 Yrs),CHI (5 Yrs),CHI (5 Yrs),,41.0,41.0,1665.0,0.418,0.451,0.29,0.448,0.838,0.498,0.253,0.208,92.0,93.0,82.0,90.0,110.0,92.0,86.0,88.0,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,6.0,3.0,178.0,0.455,0.457,0.444,0.5,1.0,0.527,0.102,0.205,96.0,86.0,121.0,93.0,129.0,92.0,41.0,52.0,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,5.0,0.0,119.0,0.509,0.468,0.7,0.57,0.857,0.591,0.123,0.175,111.0,92.0,194.0,109.0,112.0,106.0,49.0,52.0,
