"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2009-10,22.0,POR,NBA,11:53,3.0,5.0,0.0,1.0,3.0,5.0,5.0,6.0,3.0,3.0,5.0,0.0,2.0,0.0,3.0,3.0,11.0,7.1
2011-12,24.0,MEM,NBA,12:56,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,4.3
2014-15,27.0,NOP,NBA,25:35,4.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,6.0,8.0,2.0,2.0,2.0,0.0,3.0,10.0,12.9
2018-19,31.0,SAS,NBA,5:11,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3
Career,,,,25:35,4.0,5.0,1.0,1.0,4.0,5.0,5.0,6.0,3.0,6.0,8.0,2.0,2.0,2.0,3.0,3.0,11.0,12.9
,,,,,,,,,,,,,,,,,,,,,,
1 Season,,MEM,NBA,12:56,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,4.3
1 Season,,POR,NBA,11:53,3.0,5.0,0.0,1.0,3.0,5.0,5.0,6.0,3.0,3.0,5.0,0.0,2.0,0.0,3.0,3.0,11.0,7.1
1 Season,,SAS,NBA,5:11,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3
1 Season,,NOP,NBA,25:35,4.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,6.0,8.0,2.0,2.0,2.0,0.0,3.0,10.0,12.9
