Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2009-10,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2010-11,21,LAC,NBA,PF,82,82,3112,696,1376,.506,7,24,.292,689,1352,.510,.508,446,695,.642,270,719,989,312,63,45,223,252,1845,2,"MVP-10,ROY-1,AS"
2011-12,22,LAC,NBA,PF,66,66,2392,561,1022,.549,2,16,.125,559,1006,.556,.550,244,468,.521,218,499,717,210,54,48,150,216,1368,0,"AS,NBA2"
2012-13,23,LAC,NBA,PF,80,80,2598,577,1072,.538,5,28,.179,572,1044,.548,.541,281,426,.660,186,476,662,299,97,50,185,231,1440,1,"AS,NBA2"
2013-14,24,LAC,NBA,PF,80,80,2863,718,1359,.528,12,44,.273,706,1315,.537,.533,482,674,.715,192,565,757,309,92,51,224,265,1930,1,"MVP-3,AS,NBA2"
2014-15,25,LAC,NBA,PF,67,67,2356,574,1144,.502,10,25,.400,564,1119,.504,.506,311,427,.728,126,382,508,354,63,35,152,196,1469,0,"MVP-8,AS,NBA3"
2015-16,26,LAC,NBA,PF,35,35,1170,301,603,.499,6,18,.333,295,585,.504,.504,141,194,.727,51,243,294,170,28,17,83,95,749,0,
2016-17,27,LAC,NBA,PF,61,61,2076,479,971,.493,38,113,.336,441,858,.514,.513,320,421,.760,112,385,497,300,57,22,142,157,1316,1,
2017-18,28,2TM,NBA,PF,58,58,1970,436,996,.438,111,322,.345,325,674,.482,.493,259,330,.785,73,355,428,334,41,18,165,139,1242,3,
2017-18,28,LAC,NBA,PF,33,33,1139,255,578,.441,64,187,.342,191,391,.488,.497,172,219,.785,46,216,262,179,30,9,99,78,746,2,
2017-18,28,DET,NBA,PF,25,25,831,181,418,.433,47,135,.348,134,283,.473,.489,87,111,.784,27,139,166,155,11,9,66,61,496,1,
2018-19,29,DET,NBA,PF,75,75,2622,619,1341,.462,189,522,.362,430,819,.525,.532,414,550,.753,100,465,565,402,52,28,253,199,1841,2,"AS,NBA3"
2019-20,30,DET,NBA,PF,18,18,512,88,250,.352,27,111,.243,61,139,.439,.406,76,98,.776,17,67,84,59,7,7,40,27,279,0,
2020-21,31,2TM,NBA,PF,46,30,1186,174,411,.423,70,205,.341,104,206,.505,.509,87,117,.744,35,190,225,140,32,15,62,111,505,0,
2020-21,31,DET,NBA,PF,20,20,626,81,222,.365,39,124,.315,42,98,.429,.453,44,62,.710,7,97,104,77,14,2,32,42,245,0,
2020-21,31,BRK,NBA,PF,26,10,560,93,189,.492,31,81,.383,62,108,.574,.574,43,55,.782,28,93,121,63,18,13,30,69,260,0,
2021-22,32,BRK,NBA,C,56,24,958,133,313,.425,38,145,.262,95,168,.565,.486,55,76,.724,60,168,228,105,27,14,31,95,359,0,
2022-23,33,BOS,NBA,C,41,16,569,63,130,.485,23,66,.348,40,64,.625,.573,21,32,.656,47,108,155,61,14,9,22,75,170,0,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,765,692,24384,5419,10988,.493,538,1639,.328,4881,9349,.522,.518,3137,4508,.696,1487,4622,6109,3055,627,359,1732,2058,14513,10,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,74,2614,581,1178,.493,58,176,.328,523,1002,.522,.518,336,483,.696,159,495,655,327,67,38,186,221,1556,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (8 Yrs),LAC (8 Yrs),LAC (8 Yrs),LAC (8 Yrs),,504,504,17706,4161,8125,.512,144,455,.316,4017,7670,.524,.521,2397,3524,.680,1201,3485,4686,2133,484,277,1258,1490,10863,7,
DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),,138,138,4591,969,2231,.434,302,892,.339,667,1339,.498,.502,621,821,.756,151,768,919,693,84,46,391,329,2861,3,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,82,34,1518,226,502,.450,69,226,.305,157,276,.569,.519,98,131,.748,88,261,349,168,45,27,61,164,619,0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,41,16,569,63,130,.485,23,66,.348,40,64,.625,.573,21,32,.656,47,108,155,61,14,9,22,75,170,0,
