"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2009-10,22,2TM,NBA,PG,81.0,2.0,1269.0,0.418,0.444,0.31,0.448,0.722,0.478,0.196,0.193,91.0,90.0,87.0,90.0,95.0,88.0,65.0,87.0,-38.5,-52.0,
2009-10,22,UTA,NBA,PG,26.0,2.0,363.0,0.391,0.431,0.208,0.41,0.758,0.454,0.248,0.18,85.0,88.0,59.0,82.0,100.0,84.0,83.0,81.0,-24.2,-26.2,
2009-10,22,OKC,NBA,PG,55.0,0.0,906.0,0.434,0.452,0.362,0.47,0.692,0.492,0.166,0.2,94.0,92.0,102.0,94.0,91.0,91.0,55.0,90.0,-14.3,-25.8,
2010-11,23,OKC,NBA,PG,82.0,0.0,1200.0,0.402,0.409,0.385,0.458,0.729,0.485,0.177,0.288,88.0,84.0,108.0,92.0,95.0,90.0,59.0,130.0,-26.9,-40.7,
2011-12,24,OKC,NBA,PG,9.0,0.0,137.0,0.359,0.364,0.353,0.436,1.0,0.466,0.103,0.436,80.0,76.0,101.0,89.0,133.0,88.0,37.0,193.0,-4.0,-5.0,
2012-13,25,2TM,NBA,PG,64.0,0.0,963.0,0.377,0.389,0.354,0.438,0.726,0.472,0.221,0.342,83.0,81.0,99.0,88.0,96.0,88.0,82.0,140.0,-33.0,-38.6,
2012-13,25,OKC,NBA,PG,37.0,0.0,391.0,0.313,0.304,0.326,0.378,0.81,0.419,0.183,0.4,69.0,63.0,91.0,76.0,108.0,78.0,68.0,164.0,-27.2,-28.8,
2012-13,25,POR,NBA,SG,27.0,0.0,572.0,0.422,0.44,0.38,0.479,0.683,0.508,0.247,0.301,93.0,91.0,106.0,96.0,91.0,95.0,91.0,124.0,-5.8,-9.8,
2013-14,26,2TM,NBA,PG,31.0,0.0,327.0,0.317,0.313,0.324,0.376,0.545,0.387,0.109,0.366,70.0,64.0,90.0,75.0,72.0,72.0,38.0,141.0,-25.3,-32.5,
2013-14,26,WAS,NBA,PG,23.0,0.0,215.0,0.292,0.277,0.32,0.347,0.667,0.355,0.042,0.347,64.0,57.0,89.0,69.0,88.0,66.0,15.0,134.0,-22.2,-27.3,
2013-14,26,PHI,NBA,PG,8.0,0.0,112.0,0.379,0.412,0.333,0.448,0.5,0.461,0.276,0.414,83.0,84.0,93.0,89.0,66.0,85.0,97.0,159.0,-3.1,-5.2,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,267.0,2.0,3896.0,0.392,0.409,0.35,0.442,0.721,0.47,0.185,0.283,86.0,84.0,98.0,89.0,95.0,87.0,64.0,122.0,-127.7,-168.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,
OKC (4 Yrs),OKC (4 Yrs),OKC (4 Yrs),OKC (4 Yrs),,183.0,0.0,2634.0,0.396,0.409,0.364,0.448,0.74,0.475,0.17,0.285,87.0,84.0,102.0,90.0,97.0,88.0,58.0,126.0,-72.4,-100.3,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,27.0,0.0,572.0,0.422,0.44,0.38,0.479,0.683,0.508,0.247,0.301,93.0,91.0,106.0,96.0,91.0,95.0,91.0,124.0,-5.8,-9.8,
UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),,26.0,2.0,363.0,0.391,0.431,0.208,0.41,0.758,0.454,0.248,0.18,85.0,88.0,59.0,82.0,100.0,84.0,83.0,81.0,-24.2,-26.2,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,23.0,0.0,215.0,0.292,0.277,0.32,0.347,0.667,0.355,0.042,0.347,64.0,57.0,89.0,69.0,88.0,66.0,15.0,134.0,-22.2,-27.3,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,8.0,0.0,112.0,0.379,0.412,0.333,0.448,0.5,0.461,0.276,0.414,83.0,84.0,93.0,89.0,66.0,85.0,97.0,159.0,-3.1,-5.2,
