"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2010-11,23,PHI,NBA,SG,5.0,5.0,125.0,0.0,96.0,4.0,0.0,0.0,-7.4,2.0,1.0,0.0,4.0,0.0,2.0,0.0,11.0,0.0,2.0,
2011-12,24,PHI,NBA,SG,13.0,1.0,102.0,4.0,78.0,19.0,0.0,0.0,-0.3,0.7,4.0,0.0,3.0,0.0,3.0,2.0,9.0,0.0,1.0,
2012-13,25,LAL,NBA,SG,1.0,0.0,20.0,0.0,100.0,0.0,0.0,0.0,-28.3,-8.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,28,DET,NBA,SG,1.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,-100.0,-90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,31,TOR,NBA,SG,14.0,0.0,66.0,2.0,98.0,0.0,0.0,0.0,-12.8,-19.6,2.0,0.0,5.0,1.0,2.0,0.0,3.0,1.0,1.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,34.0,6.0,315.0,2.0,90.0,8.0,0.0,0.0,-8.1,-4.2,8.0,0.0,12.0,2.0,7.0,2.0,23.0,1.0,4.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,14.0,760.0,2.0,90.0,8.0,0.0,0.0,-8.1,-4.2,19.0,0.0,29.0,5.0,17.0,5.0,55.0,2.0,10.0,
,,,,,,,,,,,,,,,,,,,,,,,,
PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,18.0,6.0,227.0,2.0,88.0,11.0,0.0,0.0,-4.2,1.4,5.0,0.0,7.0,0.0,5.0,2.0,20.0,0.0,3.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,14.0,0.0,66.0,2.0,98.0,0.0,0.0,0.0,-12.8,-19.6,2.0,0.0,5.0,1.0,2.0,0.0,3.0,1.0,1.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,1.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,-100.0,-90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,1.0,0.0,20.0,0.0,100.0,0.0,0.0,0.0,-28.3,-8.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
