"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
James Anderson,,1.9,0.9,0.5,0.3,-0.3,
Felipe LÃ³pez,77.8,1.9,0.5,0.4,0.3,,
Mo Layton,74.0,1.9,1.1,1.0,0.3,0.1,
Saben Lee,73.7,1.5,0.9,0.7,0.4,,
Steve Alford,73.0,1.4,0.9,0.6,0.3,,
Lloyd Daniels,72.6,1.8,1.1,0.2,0.1,0.0,
Bubbles Hawkins,72.1,1.9,0.6,0.3,0.1,,
Sidney Lowe,72.1,1.7,1.5,0.5,0.3,,
Damyean Dotson,72.0,1.5,0.9,0.6,0.0,0.0,
Chink Crossin,71.7,2.1,1.2,0.5,,,
John Jenkins,71.6,1.7,0.9,0.2,0.2,0.0,-0.1
