"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2010-11,23.0,WAS,NBA,44:37,12.0,15.0,0.0,1.0,12.0,15.0,7.0,9.0,7.0,8.0,13.0,4.0,2.0,6.0,3.0,6.0,26.0,28.6
2011-12,24.0,WAS,NBA,43:26,9.0,16.0,1.0,1.0,9.0,16.0,5.0,8.0,8.0,11.0,17.0,3.0,4.0,3.0,3.0,6.0,20.0,20.6
2012-13,25.0,WAS,NBA,33:09,8.0,12.0,0.0,1.0,8.0,12.0,5.0,9.0,6.0,8.0,13.0,4.0,4.0,2.0,4.0,5.0,16.0,17.5
2013-14,26.0,WAS,NBA,44:08,12.0,19.0,0.0,1.0,12.0,19.0,8.0,8.0,9.0,12.0,19.0,4.0,4.0,5.0,4.0,5.0,24.0,21.0
2014-15,27.0,UTA,NBA,35:37,12.0,15.0,4.0,4.0,8.0,11.0,8.0,14.0,6.0,10.0,15.0,6.0,3.0,3.0,4.0,6.0,36.0,35.2
2015-16,28.0,UTA,NBA,38:04,6.0,11.0,1.0,4.0,6.0,9.0,6.0,8.0,10.0,11.0,15.0,4.0,4.0,3.0,5.0,6.0,17.0,18.9
2016-17,29.0,BRK,NBA,41:37,11.0,16.0,3.0,4.0,10.0,14.0,6.0,6.0,6.0,13.0,18.0,5.0,4.0,2.0,5.0,5.0,23.0,22.5
2017-18,30.0,TOT,NBA,30:47,8.0,13.0,2.0,3.0,8.0,12.0,6.0,8.0,6.0,8.0,11.0,6.0,2.0,3.0,3.0,6.0,20.0,18.0
2017-18,30.0,BRK,NBA,30:47,8.0,13.0,2.0,2.0,8.0,12.0,6.0,8.0,6.0,8.0,11.0,6.0,2.0,1.0,3.0,5.0,20.0,18.0
2017-18,30.0,PHI,NBA,24:41,6.0,9.0,1.0,2.0,6.0,8.0,6.0,7.0,5.0,6.0,9.0,5.0,2.0,3.0,3.0,6.0,16.0,17.3
2017-18,30.0,IND,NBA,21:39,5.0,10.0,2.0,3.0,5.0,8.0,5.0,6.0,3.0,6.0,8.0,2.0,1.0,2.0,2.0,4.0,11.0,10.8
Career,,,,44:37,12.0,19.0,4.0,4.0,12.0,19.0,8.0,14.0,10.0,13.0,19.0,6.0,4.0,6.0,5.0,6.0,36.0,35.2
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,WAS,NBA,44:37,12.0,19.0,1.0,1.0,12.0,19.0,8.0,9.0,9.0,12.0,19.0,4.0,4.0,6.0,4.0,6.0,26.0,28.6
2 Seasons,,UTA,NBA,38:04,12.0,15.0,4.0,4.0,8.0,11.0,8.0,14.0,10.0,11.0,15.0,6.0,4.0,3.0,5.0,6.0,36.0,35.2
2 Seasons,,BRK,NBA,41:37,11.0,16.0,3.0,4.0,10.0,14.0,6.0,8.0,6.0,13.0,18.0,6.0,4.0,2.0,5.0,5.0,23.0,22.5
1 Season,,PHI,NBA,24:41,6.0,9.0,1.0,2.0,6.0,8.0,6.0,7.0,5.0,6.0,9.0,5.0,2.0,3.0,3.0,6.0,16.0,17.3
1 Season,,IND,NBA,21:39,5.0,10.0,2.0,3.0,5.0,8.0,5.0,6.0,3.0,6.0,8.0,2.0,1.0,2.0,2.0,4.0,11.0,10.8
