Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2012-13,23,MEM,NBA,PF,8.0,0.0,48.0,7.8,0.472,0.0,0.333,9.5,18.4,13.7,0.0,0.0,1.8,12.7,15.3,0.0,0.0,0.0,0.038,-4.5,-2.4,-6.9,-0.1,
2013-14,24,MEM,NBA,PF,7.0,0.0,25.0,16.9,0.287,0.0,0.1,34.2,32.9,33.6,0.0,2.2,10.4,16.1,22.9,-0.1,0.1,0.0,-0.028,-2.4,-2.5,-4.9,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,26,POR,NBA,PF,11.0,0.0,205.0,14.9,0.559,0.05,0.825,12.7,25.2,18.8,10.3,0.5,2.7,15.5,13.4,0.4,0.2,0.5,0.127,-0.9,0.1,-0.7,0.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,28,POR,NBA,C,4.0,0.0,71.0,6.1,0.468,0.0,0.4,7.2,45.9,24.9,0.0,0.0,1.2,25.4,9.5,-0.1,0.0,-0.1,-0.035,-4.6,-1.3,-5.9,-0.1,
2018-19,29,BRK,NBA,C,3.0,0.0,41.0,19.4,0.735,0.0,0.2,9.3,40.8,23.8,7.8,0.0,1.8,0.0,10.8,0.2,0.0,0.2,0.226,1.7,2.1,3.8,0.1,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,33.0,0.0,390.0,13.0,0.528,0.024,0.537,12.3,30.3,20.7,6.2,0.4,2.7,15.1,13.3,0.4,0.3,0.7,0.087,-1.8,-0.4,-2.2,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,969.0,13.0,0.528,0.024,0.537,12.3,30.3,20.7,6.2,0.4,2.7,15.1,13.3,1.0,0.8,1.8,0.087,-1.8,-0.4,-2.2,-0.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,15.0,0.0,73.0,10.9,0.393,0.0,0.227,17.9,23.4,20.5,0.0,0.7,4.7,14.2,17.9,-0.1,0.1,0.0,0.015,-3.8,-2.4,-6.2,-0.1,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,15.0,0.0,276.0,12.6,0.543,0.04,0.74,11.3,30.5,20.4,7.7,0.4,2.3,17.4,12.4,0.3,0.2,0.5,0.085,-1.8,-0.2,-2.1,0.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,3.0,0.0,41.0,19.4,0.735,0.0,0.2,9.3,40.8,23.8,7.8,0.0,1.8,0.0,10.8,0.2,0.0,0.2,0.226,1.7,2.1,3.8,0.1,
