"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2011-12,22,PHI,NBA,PF,41.0,15.0,624.0,0.473,0.473,,0.473,0.786,0.488,0.084,0.0,106.0,99.0,,97.0,104.0,93.0,30.0,0.0,-4.8,-13.5,
2012-13,23,PHI,NBA,C,79.0,37.0,1669.0,0.454,0.455,0.0,0.454,0.717,0.474,0.132,0.002,100.0,94.0,0.0,91.0,95.0,89.0,49.0,1.0,-38.8,-58.7,
2013-14,24,2TM,NBA,PF,65.0,2.0,1072.0,0.447,0.46,0.154,0.45,0.66,0.47,0.167,0.043,98.0,94.0,43.0,90.0,87.0,87.0,59.0,17.0,-30.7,-45.3,
2013-14,24,PHI,NBA,PF,51.0,2.0,960.0,0.44,0.455,0.154,0.444,0.675,0.464,0.15,0.049,97.0,93.0,43.0,89.0,89.0,86.0,53.0,19.0,-30.6,-43.8,
2013-14,24,IND,NBA,PF,14.0,0.0,112.0,0.5,0.5,,0.5,0.6,0.521,0.294,0.0,110.0,103.0,,100.0,79.0,96.0,103.0,0.0,-0.1,-1.5,
2014-15,25,IND,NBA,C,63.0,0.0,1070.0,0.472,0.472,,0.472,0.702,0.493,0.157,0.0,105.0,97.0,,95.0,94.0,92.0,57.0,0.0,-14.5,-26.5,
2015-16,26,IND,NBA,PF,79.0,28.0,1599.0,0.516,0.516,,0.516,0.63,0.532,0.197,0.0,114.0,105.0,,103.0,83.0,98.0,71.0,0.0,10.2,-7.3,
2016-17,27,IND,NBA,PF,61.0,5.0,871.0,0.458,0.461,0.0,0.458,0.697,0.485,0.196,0.006,100.0,92.0,0.0,89.0,90.0,88.0,73.0,2.0,-18.6,-24.6,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,388.0,87.0,6905.0,0.471,0.474,0.133,0.472,0.682,0.491,0.158,0.009,104.0,97.0,37.0,94.0,90.0,91.0,57.0,3.0,-97.2,-175.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),IND (4 Yrs),,217.0,33.0,3652.0,0.489,0.49,0.0,0.489,0.663,0.509,0.187,0.001,108.0,100.0,0.0,97.0,87.0,94.0,68.0,0.0,-23.0,-59.9,
PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),,171.0,54.0,3253.0,0.453,0.458,0.143,0.454,0.711,0.473,0.129,0.016,100.0,95.0,40.0,92.0,94.0,88.0,47.0,6.0,-74.2,-116.0,
