"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2012-13,22,OKC,NBA,PG,11.0,9.0,368.0,0.479,12.6,0.639,0.277,0.227,0.076,0.059,0.361,0.579,0.727,0.444,0.556,0.429,0.302,0.25,0.923,0.034,3.0,0.395,0.412,0.0,0.0,
2013-14,23,OKC,NBA,PG,19.0,4.0,531.0,0.466,13.6,0.671,0.342,0.143,0.075,0.112,0.329,0.5,0.673,0.304,0.417,0.278,0.396,0.241,0.762,0.025,4.0,0.208,0.455,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,25,DET,NBA,PG,4.0,4.0,147.0,0.455,12.8,0.673,0.327,0.145,0.073,0.127,0.327,0.595,0.722,0.5,0.25,0.571,0.167,0.045,0.667,0.018,1.0,0.056,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,28,DET,NBA,PG,4.0,4.0,108.0,0.431,13.7,0.677,0.2,0.2,0.185,0.092,0.323,0.432,0.462,0.308,0.583,0.333,0.429,0.105,0.778,0.031,1.0,0.429,0.667,0.0,0.0,
2019-20,29,LAC,NBA,PG,12.0,1.0,170.0,0.438,19.8,0.333,0.042,0.104,0.125,0.063,0.667,0.25,0.0,0.2,0.167,0.667,0.531,0.0,0.882,0.0,0.0,0.438,0.5,0.0,0.0,
2020-21,30,LAC,NBA,SG,19.0,17.0,622.0,0.484,18.0,0.437,0.143,0.155,0.063,0.075,0.563,0.582,0.694,0.487,0.625,0.526,0.408,0.25,0.81,0.016,4.0,0.225,0.313,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,32,DEN,NBA,PG,6.0,0.0,18.0,0.5,29.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.5,,1.0,0.0,0.0,0.5,1.0,0.0,0.0,
2023-24,33,DEN,NBA,PG,12.0,0.0,117.0,0.333,16.8,0.521,0.208,0.167,0.042,0.104,0.479,0.32,0.3,0.375,0.0,0.4,0.348,0.25,0.75,0.021,1.0,0.174,0.25,1.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,87.0,39.0,2081.0,0.46,17.0,0.555,0.223,0.164,0.081,0.087,0.445,0.517,0.647,0.407,0.475,0.431,0.389,0.209,0.815,0.021,14.0,0.266,0.416,7.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,37.0,1961.0,0.46,17.0,0.555,0.223,0.164,0.081,0.087,0.445,0.517,0.647,0.407,0.475,0.431,0.389,0.209,0.815,0.021,13.0,0.266,0.416,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,31.0,18.0,792.0,0.477,18.9,0.42,0.127,0.147,0.073,0.073,0.58,0.54,0.658,0.455,0.5,0.545,0.431,0.235,0.827,0.013,4.0,0.264,0.37,1.0,0.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,30.0,13.0,899.0,0.471,13.1,0.657,0.314,0.179,0.075,0.089,0.343,0.533,0.693,0.38,0.476,0.32,0.354,0.245,0.824,0.029,7.0,0.292,0.429,5.0,0.0,
DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),,18.0,0.0,135.0,0.34,22.9,0.5,0.2,0.16,0.04,0.1,0.5,0.32,0.3,0.375,0.0,0.4,0.36,0.25,0.778,0.02,1.0,0.2,0.4,1.0,0.0,
DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),,8.0,8.0,255.0,0.442,13.2,0.675,0.258,0.175,0.133,0.108,0.325,0.506,0.613,0.381,0.5,0.462,0.308,0.073,0.75,0.025,2.0,0.256,0.6,0.0,0.0,
