"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Fouls Drawn', 'Shoot')","('Fouls Drawn', 'Off.')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 24_level_0', 'Awards')"
2011-12,20,SAS,NBA,SF,14.0,14.0,379.0,0.0,3.0,91.0,7.0,0.0,6.3,-1.8,4.0,5.0,9.0,1.0,9.0,2.0,20.0,4.0,9.0,
2012-13,21,SAS,NBA,SF,21.0,21.0,775.0,0.0,0.0,64.0,36.0,0.0,8.5,4.2,4.0,8.0,12.0,3.0,25.0,0.0,50.0,11.0,7.0,
2013-14,22,SAS,NBA,SF,23.0,23.0,736.0,0.0,0.0,89.0,11.0,0.0,12.5,7.0,7.0,11.0,28.0,8.0,37.0,5.0,87.0,7.0,6.0,Finals MVP-1
2014-15,23,SAS,NBA,SF,7.0,7.0,250.0,0.0,0.0,91.0,9.0,0.0,-6.9,-29.3,7.0,5.0,9.0,1.0,14.0,0.0,44.0,1.0,6.0,
2015-16,24,SAS,NBA,SF,10.0,10.0,339.0,0.0,5.0,91.0,4.0,0.0,9.8,-0.6,5.0,5.0,7.0,4.0,20.0,2.0,70.0,4.0,11.0,
2016-17,25,SAS,NBA,SF,12.0,12.0,429.0,0.0,1.0,85.0,14.0,0.0,11.2,22.3,14.0,5.0,7.0,3.0,42.0,0.0,133.0,8.0,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,27,TOR,NBA,SF,24.0,24.0,939.0,0.0,2.0,81.0,18.0,0.0,8.9,16.7,21.0,32.0,20.0,13.0,89.0,1.0,240.0,27.0,29.0,Finals MVP-1
2019-20,28,LAC,NBA,SF,13.0,13.0,511.0,0.0,64.0,34.0,2.0,0.0,2.3,-8.8,13.0,13.0,9.0,4.0,33.0,1.0,179.0,9.0,12.0,
2020-21,29,LAC,NBA,SF,11.0,11.0,432.0,0.0,62.0,34.0,4.0,0.0,3.2,-2.8,11.0,9.0,10.0,2.0,32.0,0.0,126.0,8.0,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,31,LAC,NBA,SF,2.0,2.0,80.0,0.0,0.0,49.0,46.0,5.0,-7.1,0.8,2.0,2.0,1.0,0.0,7.0,0.0,31.0,2.0,0.0,
2023-24,32,LAC,NBA,SF,2.0,2.0,59.0,0.0,0.0,67.0,33.0,0.0,-11.9,-5.2,1.0,3.0,1.0,0.0,2.0,0.0,11.0,1.0,0.0,
2024-25,33,LAC,NBA,SF,7.0,7.0,265.0,0.0,0.0,31.0,65.0,4.0,-0.2,-5.3,7.0,5.0,3.0,1.0,19.0,0.0,77.0,6.0,4.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,146.0,146.0,5194.0,0.0,12.0,70.0,17.0,0.0,6.6,3.5,96.0,103.0,116.0,40.0,329.0,11.0,1068.0,88.0,96.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2917.0,0.0,12.0,70.0,17.0,0.0,6.6,3.5,54.0,58.0,65.0,22.0,185.0,6.0,600.0,49.0,54.0,
,,,,,,,,,,,,,,,,,,,,,,,,
SAS (6 Yrs),SAS (6 Yrs),SAS (6 Yrs),SAS (6 Yrs),,87.0,87.0,2908.0,0.0,1.0,82.0,16.0,0.0,8.5,3.4,41.0,39.0,72.0,20.0,147.0,9.0,404.0,35.0,45.0,
LAC (5 Yrs),LAC (5 Yrs),LAC (5 Yrs),LAC (5 Yrs),,35.0,35.0,1347.0,0.0,44.0,36.0,19.0,1.0,0.9,-5.5,34.0,32.0,24.0,7.0,93.0,1.0,424.0,26.0,22.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,24.0,24.0,939.0,0.0,2.0,81.0,18.0,0.0,8.9,16.7,21.0,32.0,20.0,13.0,89.0,1.0,240.0,27.0,29.0,
