"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 26_level_0', 'Awards')"
2011-12,22,HOU,NBA,PF,17.0,0.0,126.0,0.296,0.378,0.118,0.315,0.75,0.348,0.148,0.315,66.0,79.0,34.0,65.0,100.0,66.0,54.0,139.0,-18.6,-20.6,
2012-13,23,2TM,NBA,PF,77.0,23.0,1524.0,0.422,0.464,0.369,0.504,0.564,0.516,0.222,0.443,93.0,96.0,103.0,101.0,75.0,97.0,82.0,182.0,7.8,-21.5,
2012-13,23,HOU,NBA,PF,54.0,17.0,1154.0,0.428,0.471,0.381,0.52,0.653,0.537,0.188,0.485,94.0,97.0,106.0,105.0,87.0,100.0,69.0,199.0,18.9,2.0,
2012-13,23,PHO,NBA,SF,23.0,6.0,370.0,0.405,0.448,0.308,0.452,0.405,0.453,0.333,0.31,89.0,93.0,86.0,91.0,54.0,85.0,123.0,127.0,-11.1,-23.5,
2013-14,24,PHO,NBA,SF,82.0,1.0,1800.0,0.442,0.483,0.381,0.518,0.761,0.552,0.244,0.399,97.0,99.0,106.0,103.0,101.0,102.0,86.0,154.0,22.6,16.1,
2014-15,25,PHO,NBA,PF,81.0,35.0,2045.0,0.434,0.487,0.358,0.507,0.628,0.52,0.148,0.41,97.0,100.0,102.0,102.0,84.0,97.0,54.0,153.0,17.3,-23.3,
2015-16,26,DET,NBA,SF,80.0,80.0,2856.0,0.434,0.467,0.362,0.491,0.749,0.531,0.287,0.315,96.0,95.0,102.0,98.0,99.0,98.0,104.0,111.0,-21.7,-21.0,
2016-17,27,DET,NBA,SF,79.0,79.0,2565.0,0.418,0.466,0.331,0.477,0.784,0.508,0.184,0.355,91.0,93.0,92.0,93.0,102.0,92.0,68.0,112.0,-74.6,-97.4,
2017-18,28,BOS,NBA,PF,54.0,21.0,1442.0,0.429,0.467,0.368,0.499,0.805,0.541,0.252,0.383,93.0,91.0,102.0,96.0,105.0,97.0,100.0,114.0,-26.9,-21.0,
2018-19,29,BOS,NBA,PF,75.0,53.0,2091.0,0.447,0.508,0.375,0.533,0.844,0.568,0.205,0.461,97.0,98.0,106.0,102.0,110.0,102.0,79.0,128.0,15.2,16.2,
2019-20,30,2TM,NBA,SF,62.0,62.0,1936.0,0.438,0.461,0.408,0.526,0.823,0.57,0.272,0.43,95.0,88.0,114.0,99.0,106.0,101.0,104.0,112.0,-4.7,8.8,
2019-20,30,NYK,NBA,SF,43.0,43.0,1387.0,0.442,0.444,0.439,0.533,0.823,0.582,0.311,0.415,96.0,85.0,123.0,101.0,107.0,103.0,120.0,108.0,5.3,24.3,
2019-20,30,LAC,NBA,PF,19.0,19.0,549.0,0.425,0.533,0.31,0.5,0.818,0.523,0.126,0.483,92.0,102.0,86.0,95.0,106.0,93.0,49.0,126.0,-10.0,-15.5,
2020-21,31,LAC,NBA,PF,57.0,29.0,1502.0,0.473,0.472,0.473,0.592,0.82,0.614,0.152,0.507,101.0,89.0,129.0,110.0,105.0,107.0,62.0,129.0,63.7,52.4,
2021-22,32,LAC,NBA,PF,54.0,54.0,1564.0,0.434,0.478,0.367,0.507,0.872,0.549,0.214,0.398,94.0,90.0,104.0,95.0,113.0,97.0,86.0,100.0,-33.8,-25.9,
2022-23,33,LAC,NBA,PF,65.0,65.0,1825.0,0.426,0.484,0.364,0.513,0.782,0.534,0.135,0.479,90.0,88.0,101.0,94.0,100.0,92.0,51.0,124.0,-41.2,-64.0,
2023-24,34,2TM,NBA,PF,49.0,7.0,817.0,0.439,0.469,0.403,0.53,0.818,0.558,0.167,0.451,93.0,86.0,110.0,97.0,104.0,96.0,68.0,114.0,-8.6,-12.7,
2023-24,34,PHI,NBA,PF,37.0,7.0,637.0,0.439,0.47,0.4,0.527,0.861,0.559,0.176,0.439,93.0,86.0,109.0,96.0,110.0,96.0,72.0,111.0,-8.1,-9.2,
2023-24,34,CLE,NBA,PF,12.0,0.0,180.0,0.441,0.467,0.414,0.542,0.625,0.552,0.136,0.492,93.0,86.0,113.0,99.0,80.0,95.0,56.0,124.0,-0.5,-3.5,
13 Yrs,13 Yrs,13 Yrs,13 Yrs,,832.0,509.0,22093.0,0.435,0.475,0.377,0.512,0.774,0.543,0.211,0.411,94.0,93.0,105.0,99.0,101.0,98.0,80.0,126.0,-103.5,-213.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (4 Yrs),LAC (4 Yrs),LAC (4 Yrs),LAC (4 Yrs),,195.0,167.0,5440.0,0.442,0.483,0.394,0.532,0.832,0.56,0.165,0.46,95.0,90.0,109.0,99.0,107.0,98.0,65.0,117.0,-21.3,-53.0,
PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),PHO (3 Yrs),,186.0,42.0,4215.0,0.435,0.482,0.364,0.507,0.666,0.528,0.204,0.397,96.0,99.0,103.0,102.0,88.0,98.0,73.0,151.0,28.8,-30.7,
DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),DET (2 Yrs),,159.0,159.0,5421.0,0.426,0.466,0.345,0.484,0.763,0.519,0.234,0.336,94.0,94.0,97.0,95.0,100.0,95.0,85.0,111.0,-96.3,-118.4,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,129.0,74.0,3533.0,0.439,0.489,0.372,0.519,0.826,0.557,0.225,0.428,95.0,95.0,104.0,99.0,108.0,100.0,88.0,122.0,-11.7,-4.8,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,71.0,17.0,1280.0,0.412,0.457,0.36,0.496,0.663,0.515,0.183,0.465,91.0,95.0,100.0,100.0,88.0,96.0,67.0,192.0,0.3,-18.6,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,43.0,43.0,1387.0,0.442,0.444,0.439,0.533,0.823,0.582,0.311,0.415,96.0,85.0,123.0,101.0,107.0,103.0,120.0,108.0,5.3,24.3,
