"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2012-13,24.0,DET,NBA,41:46,9.0,17.0,3.0,6.0,8.0,13.0,5.0,6.0,5.0,8.0,10.0,5.0,3.0,4.0,4.0,6.0,20.0,22.3
2013-14,25.0,DET,NBA,46:17,9.0,17.0,4.0,7.0,8.0,11.0,8.0,8.0,5.0,6.0,10.0,3.0,5.0,3.0,6.0,6.0,22.0,18.8
2014-15,26.0,TOT,NBA,40:29,8.0,14.0,6.0,8.0,5.0,9.0,6.0,6.0,3.0,5.0,6.0,5.0,3.0,2.0,3.0,5.0,21.0,20.0
2014-15,26.0,DET,NBA,40:29,8.0,14.0,6.0,8.0,5.0,9.0,6.0,6.0,3.0,5.0,6.0,5.0,3.0,2.0,3.0,5.0,21.0,20.0
2014-15,26.0,OKC,NBA,30:38,5.0,9.0,3.0,5.0,2.0,7.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,13.0,13.1
2015-16,27.0,OKC,NBA,26:25,4.0,7.0,3.0,5.0,4.0,6.0,4.0,4.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,11.0,10.6
2016-17,28.0,OKC,NBA,34:10,4.0,12.0,1.0,5.0,4.0,8.0,2.0,4.0,2.0,6.0,6.0,3.0,3.0,1.0,2.0,3.0,11.0,10.6
2017-18,29.0,OKC,NBA,22:41,3.0,9.0,2.0,4.0,1.0,5.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,3.0,9.0,2.8
Career,,,,46:17,9.0,17.0,6.0,8.0,8.0,13.0,8.0,8.0,5.0,8.0,10.0,5.0,5.0,4.0,6.0,6.0,22.0,22.3
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,OKC,NBA,34:10,5.0,12.0,3.0,5.0,4.0,8.0,4.0,4.0,3.0,6.0,6.0,5.0,3.0,2.0,3.0,5.0,13.0,13.1
3 Seasons,,DET,NBA,46:17,9.0,17.0,6.0,8.0,8.0,13.0,8.0,8.0,5.0,8.0,10.0,5.0,5.0,4.0,6.0,6.0,22.0,22.3
