"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Klay Thompson,,8.8,8.0,7.1,6.7,5.3,4.9,4.3,3.6,3.1,1.8,1.8,1.7
Randy Smith,92.8,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.5,2.4,2.2
Bradley Beal,90.8,8.5,7.6,6.9,5.9,5.1,4.0,3.9,3.7,3.4,3.0,2.7,1.4
Latrell Sprewell,90.8,8.1,8.0,6.6,5.7,5.5,5.1,4.0,3.2,3.0,2.8,2.0,0.4
Vern Fleming,90.0,8.4,7.0,6.9,6.7,5.6,4.4,3.3,2.9,2.0,1.9,1.6,1.4
Avery Johnson,89.7,9.1,8.0,6.7,6.3,5.2,4.1,3.9,3.4,1.6,1.3,0.5,0.3
Allan Houston,89.6,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,0.7,-1.2
Nick Van Exel,89.5,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4.0,3.4,2.2,1.6,1.2
Alvin Robertson,89.4,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,
Goran DragiÄ,89.3,10.3,7.5,6.8,5.7,5.3,5.1,4.7,3.5,2.8,1.6,1.0,0.1
Rajon Rondo,89.2,9.9,9.6,7.2,6.6,4.9,4.6,3.6,3.2,2.4,2.3,1.6,1.1
