"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2013-14,23,DAL,NBA,WC1,SAS,L (3-4),7,11.6,2.7,1.7,0.3,0.3,0.1,8,18,.444,3,7,.429,5,11,.455,.528,0,0,,4,8,12,2,2,1,3,13,19,
2014-15,24,BOS,NBA,EC1,CLE,L (0-4),4,25.0,10.8,5.0,2.0,1.0,0.8,15,29,.517,3,10,.300,12,19,.632,.569,10,13,.769,8,12,20,8,4,3,5,14,43,
2015-16,25,BOS,NBA,EC1,ATL,L (2-4),6,32.8,9.5,6.5,2.2,1.5,0.5,20,72,.278,10,41,.244,10,31,.323,.347,7,11,.636,5,34,39,13,9,3,7,17,57,
2016-17,26,BOS,NBA,EC1,CHI,W (4-2),6,33.8,12.0,5.3,1.8,1.0,0.3,27,66,.409,9,33,.273,18,33,.545,.477,9,10,.900,7,25,32,11,6,2,5,16,72,
2016-17,26,BOS,NBA,ECS,WAS,W (4-3),7,32.6,14.3,6.6,2.9,1.3,0.4,34,78,.436,11,29,.379,23,49,.469,.506,21,25,.840,5,41,46,20,9,3,3,19,100,
2016-17,26,BOS,NBA,ECF,CLE,L (1-4),5,33.2,14.6,7.4,3.4,0.8,0.2,26,56,.464,11,26,.423,15,30,.500,.563,10,13,.769,8,29,37,17,4,1,4,17,73,
2017-18,27,UTA,NBA,WC1,OKC,W (4-2),6,27.5,9.3,3.8,2.0,1.8,0.0,18,57,.316,11,38,.289,7,19,.368,.412,9,12,.750,2,21,23,12,11,0,8,17,56,
2017-18,27,UTA,NBA,WCS,HOU,L (1-4),5,31.6,10.8,6.6,1.4,0.8,0.4,17,51,.333,11,28,.393,6,23,.261,.441,9,16,.563,2,31,33,7,4,2,6,8,54,
2018-19,28,UTA,NBA,WC1,HOU,L (1-4),5,26.0,11.4,5.8,0.8,1.0,0.0,17,46,.370,9,30,.300,8,16,.500,.467,14,19,.737,4,25,29,4,5,0,1,7,57,
2019-20,30,MIA,NBA,EC1,IND,W (4-0),4,25.5,9.8,6.5,1.5,1.0,0.0,12,30,.400,8,24,.333,4,6,.667,.533,7,10,.700,3,23,26,6,4,0,1,6,39,
2019-20,30,MIA,NBA,ECS,MIL,W (4-1),5,33.6,15.2,6.0,2.2,0.6,0.4,23,53,.434,22,51,.431,1,2,.500,.642,8,10,.800,2,28,30,11,3,2,6,12,76,
2019-20,30,MIA,NBA,ECF,BOS,W (4-2),6,33.5,11.7,5.0,2.5,0.8,1.2,23,63,.365,12,47,.255,11,16,.688,.460,12,16,.750,2,28,30,15,5,7,4,15,70,
2019-20,30,MIA,NBA,FIN,LAL,L (2-4),6,31.5,11.2,5.2,1.2,0.3,0.5,23,55,.418,13,39,.333,10,16,.625,.536,8,10,.800,4,27,31,7,2,3,4,22,67,
2020-21,30,PHO,NBA,WC1,LAL,W (4-2),6,31.5,11.5,4.7,2.2,1.2,1.0,22,57,.386,14,46,.304,8,11,.727,.509,11,13,.846,3,25,28,13,7,6,4,20,69,
2020-21,30,PHO,NBA,WCS,DEN,W (4-0),4,32.0,12.0,5.8,1.5,0.3,1.3,16,31,.516,12,22,.545,4,9,.444,.710,4,4,1.000,0,23,23,6,1,5,5,7,48,
2020-21,30,PHO,NBA,WCF,LAC,W (4-2),6,31.5,8.3,5.3,2.0,0.2,0.2,17,45,.378,12,35,.343,5,10,.500,.511,4,4,1.000,3,29,32,12,1,1,3,20,50,
2020-21,31,PHO,NBA,FIN,MIL,L (2-4),6,37.2,11.7,8.5,1.7,1.7,1.0,21,51,.412,16,39,.410,5,12,.417,.569,12,14,.857,4,47,51,10,10,6,7,20,70,
2021-22,31,PHO,NBA,WC1,NOP,W (4-2),6,28.7,7.5,3.7,2.5,1.3,0.7,16,48,.333,3,26,.115,13,22,.591,.365,10,15,.667,3,19,22,15,8,4,6,25,45,
2021-22,31,PHO,NBA,WCS,DAL,L (3-4),7,30.1,11.0,5.6,2.3,0.7,0.4,26,57,.456,16,37,.432,10,20,.500,.596,9,11,.818,5,34,39,16,5,3,13,22,77,
2022-23,32,MIL,NBA,EC1,MIA,L (1-4),4,10.3,1.8,1.0,0.8,0.5,0.0,3,13,.231,0,6,.000,3,7,.429,.231,1,2,.500,1,3,4,3,2,0,1,5,7,
2023-24,33,MIL,NBA,EC1,IND,L (2-4),4,10.5,2.3,1.5,0.5,0.0,0.5,3,12,.250,1,7,.143,2,5,.400,.292,2,2,1.000,2,4,6,2,0,2,0,4,9,
,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,
,,,,,,W/L,G,MP,PTS,TRB,AST,STL,BLK,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
