Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2014-15,21,NOP,NBA,PF,4.0,4.0,172.0,47.0,87.0,0.54,0.0,2.0,0.0,47.0,85.0,0.553,0.54,32.0,36.0,0.889,9.0,35.0,44.0,8.0,5.0,12.0,13.0,12.0,126.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,24,NOP,NBA,PF,9.0,9.0,358.0,106.0,204.0,0.52,6.0,22.0,0.273,100.0,182.0,0.549,0.534,53.0,64.0,0.828,24.0,97.0,121.0,15.0,18.0,21.0,23.0,30.0,271.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,26,LAL,NBA,PF,21.0,21.0,769.0,205.0,359.0,0.571,23.0,60.0,0.383,182.0,299.0,0.609,0.603,149.0,179.0,0.832,55.0,149.0,204.0,73.0,26.0,30.0,53.0,56.0,582.0,0.0,
2020-21,27,LAL,NBA,PF,5.0,5.0,144.0,25.0,62.0,0.403,2.0,11.0,0.182,23.0,51.0,0.451,0.419,35.0,42.0,0.833,7.0,26.0,33.0,13.0,3.0,8.0,6.0,9.0,87.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,LAL,NBA,C,16.0,16.0,608.0,132.0,254.0,0.52,5.0,15.0,0.333,127.0,239.0,0.531,0.53,92.0,108.0,0.852,38.0,187.0,225.0,41.0,22.0,50.0,34.0,46.0,361.0,0.0,
2023-24,30,LAL,NBA,C,5.0,5.0,208.0,59.0,93.0,0.634,0.0,5.0,0.0,59.0,88.0,0.67,0.634,21.0,26.0,0.808,15.0,63.0,78.0,20.0,2.0,8.0,11.0,19.0,139.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,60.0,60.0,2259.0,574.0,1059.0,0.542,36.0,115.0,0.313,538.0,944.0,0.57,0.559,382.0,455.0,0.84,148.0,557.0,705.0,170.0,76.0,129.0,140.0,172.0,1566.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,3087.0,784.0,1447.0,0.542,49.0,157.0,0.313,735.0,1290.0,0.57,0.559,522.0,622.0,0.84,202.0,761.0,964.0,232.0,104.0,176.0,191.0,235.0,2140.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),LAL (4 Yrs),,47.0,47.0,1729.0,421.0,768.0,0.548,30.0,91.0,0.33,391.0,677.0,0.578,0.568,297.0,355.0,0.837,115.0,425.0,540.0,147.0,53.0,96.0,104.0,130.0,1169.0,0.0,
NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),NOP (2 Yrs),,13.0,13.0,530.0,153.0,291.0,0.526,6.0,24.0,0.25,147.0,267.0,0.551,0.536,85.0,100.0,0.85,33.0,132.0,165.0,23.0,23.0,33.0,36.0,42.0,397.0,0.0,
