Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2012-13,22,GSW,NBA,SF,12.0,1.0,223.0,5.5,12.8,0.429,2.1,5.3,0.391,3.4,7.6,0.455,0.509,3.0,3.9,0.765,3.2,8.5,11.7,4.3,1.4,2.3,2.7,8.0,16.0,111.0,104.0,
2013-14,23,GSW,NBA,SF,7.0,4.0,228.0,6.1,13.1,0.467,1.7,6.3,0.276,4.4,6.8,0.645,0.533,4.1,5.2,0.792,3.9,8.7,12.6,4.4,2.6,2.6,3.7,7.2,18.1,112.0,109.0,
2014-15,24,GSW,NBA,PF,21.0,21.0,784.0,6.5,15.7,0.417,1.6,5.9,0.264,5.0,9.7,0.51,0.467,4.2,5.7,0.736,3.0,10.9,13.9,7.1,2.5,1.6,3.8,5.8,18.8,106.0,96.0,
2015-16,25,GSW,NBA,PF,23.0,23.0,879.0,6.7,15.5,0.431,2.1,5.9,0.365,4.6,9.7,0.471,0.5,4.4,6.0,0.738,2.1,10.7,12.8,7.8,2.1,2.3,3.2,4.6,20.0,113.0,101.0,
2016-17,26,GSW,NBA,PF,17.0,17.0,593.0,5.8,13.0,0.447,2.6,6.3,0.41,3.2,6.7,0.482,0.547,3.7,5.4,0.687,1.6,10.9,12.5,8.9,2.5,2.3,2.9,4.8,17.9,119.0,100.0,
2017-18,27,GSW,NBA,PF,21.0,21.0,819.0,5.0,11.7,0.432,1.3,4.8,0.266,3.8,6.9,0.549,0.487,2.4,3.0,0.796,2.6,10.9,13.5,10.4,2.5,1.9,3.8,4.6,13.7,111.0,99.0,
2018-19,28,GSW,NBA,PF,22.0,22.0,851.0,6.6,13.3,0.498,0.8,3.3,0.228,5.9,10.0,0.587,0.526,3.0,4.1,0.718,2.4,10.5,12.9,10.8,1.9,1.9,4.8,4.9,16.9,110.0,109.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,31,GSW,NBA,PF,22.0,22.0,703.0,4.9,10.1,0.479,0.6,2.7,0.205,4.3,7.4,0.581,0.507,2.1,3.3,0.638,1.8,9.3,11.2,9.7,1.8,1.5,4.1,6.1,12.4,108.0,108.0,
2022-23,32,GSW,NBA,PF,12.0,9.0,367.0,5.4,11.8,0.462,0.6,2.6,0.25,4.8,9.2,0.521,0.489,3.1,4.3,0.727,2.5,8.3,10.7,10.6,2.3,1.6,3.5,6.2,14.6,115.0,109.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,34,GSW,NBA,PF,12.0,12.0,389.0,5.5,14.2,0.389,2.1,7.9,0.267,3.4,6.3,0.542,0.463,1.2,1.7,0.692,1.2,7.5,8.7,6.0,2.2,1.4,4.7,5.8,14.3,89.0,111.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,169.0,152.0,5836.0,5.9,13.2,0.445,1.5,4.9,0.3,4.4,8.3,0.531,0.501,3.2,4.4,0.726,2.3,10.1,12.4,8.7,2.2,1.9,3.8,5.4,16.4,110.0,103.0,
