"('Game Highs', 'Season')","('Game Highs', 'Age')","('Game Highs', 'Tm')","('Game Highs', 'Lg')","('Game Highs', 'MP')","('Game Highs', 'FG')","('Game Highs', 'FGA')","('Game Highs', '3P')","('Game Highs', '3PA')","('Game Highs', '2P')","('Game Highs', '2PA')","('Game Highs', 'FT')","('Game Highs', 'FTA')","('Game Highs', 'ORB')","('Game Highs', 'DRB')","('Game Highs', 'TRB')","('Game Highs', 'AST')","('Game Highs', 'STL')","('Game Highs', 'BLK')","('Game Highs', 'TOV')","('Game Highs', 'PF')","('Game Highs', 'PTS')","('Game Highs', 'GmSc')"
2012-13,23.0,ORL,NBA,32:50,10.0,14.0,0.0,0.0,10.0,14.0,5.0,6.0,3.0,10.0,12.0,4.0,4.0,4.0,4.0,6.0,22.0,20.5
2013-14,24.0,ORL,NBA,38:27,8.0,16.0,3.0,6.0,7.0,13.0,6.0,6.0,3.0,10.0,11.0,2.0,2.0,4.0,3.0,6.0,19.0,18.2
2014-15,25.0,ORL,NBA,28:24,8.0,11.0,3.0,4.0,6.0,9.0,3.0,4.0,3.0,6.0,9.0,3.0,2.0,2.0,3.0,5.0,18.0,16.5
2015-16,26.0,ORL,NBA,31:00,9.0,14.0,3.0,5.0,6.0,10.0,7.0,7.0,2.0,12.0,14.0,3.0,2.0,2.0,3.0,5.0,24.0,21.0
2016-17,27.0,TOT,NBA,24:41,4.0,10.0,2.0,3.0,4.0,9.0,2.0,2.0,3.0,6.0,7.0,2.0,2.0,2.0,2.0,4.0,11.0,10.3
2016-17,27.0,WAS,NBA,24:41,4.0,10.0,2.0,3.0,4.0,9.0,2.0,2.0,3.0,5.0,7.0,1.0,2.0,2.0,1.0,4.0,9.0,9.2
2016-17,27.0,BRK,NBA,22:40,4.0,9.0,1.0,3.0,3.0,7.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,0.0,2.0,4.0,11.0,10.3
Career,,,,38:27,10.0,16.0,3.0,6.0,10.0,14.0,7.0,7.0,3.0,12.0,14.0,4.0,4.0,4.0,4.0,6.0,24.0,21.0
,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,,ORL,NBA,38:27,10.0,16.0,3.0,6.0,10.0,14.0,7.0,7.0,3.0,12.0,14.0,4.0,4.0,4.0,4.0,6.0,24.0,21.0
1 Season,,WAS,NBA,24:41,4.0,10.0,2.0,3.0,4.0,9.0,2.0,2.0,3.0,5.0,7.0,1.0,2.0,2.0,1.0,4.0,9.0,9.2
1 Season,,BRK,NBA,22:40,4.0,9.0,1.0,3.0,3.0,7.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,0.0,2.0,4.0,11.0,10.3
