"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2012-13,21,2TM,NBA,PF,70.0,0.0,1056.0,0.43,5.2,0.997,0.558,0.24,0.09,0.109,0.003,0.431,0.536,0.273,0.276,0.371,0.0,0.514,0.156,39.0,1.0,0.0,0.0,0.0,
2012-13,21,SAC,NBA,PF,51.0,0.0,809.0,0.424,5.8,1.0,0.543,0.23,0.107,0.119,0.0,0.424,0.515,0.304,0.231,0.414,,0.505,0.14,26.0,,,0.0,0.0,
2012-13,21,HOU,NBA,PF,19.0,0.0,247.0,0.449,4.6,0.987,0.603,0.269,0.038,0.077,0.013,0.455,0.596,0.19,0.667,0.167,0.0,0.543,0.205,13.0,1.0,0.0,0.0,0.0,
2013-14,22,POR,NBA,PF,70.0,0.0,873.0,0.481,6.6,0.997,0.57,0.133,0.075,0.218,0.003,0.483,0.641,0.179,0.273,0.328,0.0,0.617,0.116,31.0,1.0,0.0,0.0,0.0,
2014-15,23,2TM,NBA,PF,54.0,4.0,798.0,0.485,5.4,0.992,0.565,0.204,0.092,0.131,0.008,0.488,0.592,0.453,0.25,0.265,0.0,0.563,0.123,30.0,0.0,,2.0,0.0,
2014-15,23,POR,NBA,PF,32.0,4.0,391.0,0.516,5.0,1.0,0.604,0.143,0.088,0.165,0.0,0.516,0.636,0.308,0.25,0.4,,0.638,0.242,21.0,,,0.0,0.0,
2014-15,23,PHI,NBA,PF,22.0,0.0,407.0,0.467,5.8,0.988,0.544,0.237,0.095,0.112,0.012,0.473,0.565,0.5,0.25,0.158,0.0,0.519,0.059,9.0,0.0,,2.0,0.0,
2015-16,24,BRK,NBA,PF,71.0,7.0,917.0,0.447,4.8,0.997,0.588,0.21,0.127,0.072,0.003,0.448,0.608,0.23,0.189,0.238,0.0,0.531,0.124,32.0,0.0,,1.0,0.0,
2016-17,25,LAL,NBA,PF,48.0,1.0,560.0,0.536,4.3,0.995,0.643,0.209,0.097,0.046,0.005,0.538,0.643,0.463,0.158,0.222,0.0,0.467,0.153,24.0,0.0,,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,313.0,12.0,4204.0,0.47,5.3,0.996,0.58,0.199,0.096,0.12,0.004,0.472,0.601,0.314,0.229,0.307,0.0,0.542,0.134,156.0,0.333,0.0,3.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,3.0,1101.0,0.47,5.3,0.996,0.58,0.199,0.096,0.12,0.004,0.472,0.601,0.314,0.229,0.307,0.0,0.542,0.134,41.0,0.333,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,102.0,4.0,1264.0,0.49,5.8,0.997,0.578,0.135,0.078,0.206,0.003,0.491,0.64,0.212,0.267,0.342,0.0,0.622,0.146,52.0,1.0,0.0,0.0,0.0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,71.0,7.0,917.0,0.447,4.8,0.997,0.588,0.21,0.127,0.072,0.003,0.448,0.608,0.23,0.189,0.238,0.0,0.531,0.124,32.0,0.0,,1.0,0.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,51.0,0.0,809.0,0.424,5.8,1.0,0.543,0.23,0.107,0.119,0.0,0.424,0.515,0.304,0.231,0.414,,0.505,0.14,26.0,,,0.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,48.0,1.0,560.0,0.536,4.3,0.995,0.643,0.209,0.097,0.046,0.005,0.538,0.643,0.463,0.158,0.222,0.0,0.467,0.153,24.0,0.0,,0.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,22.0,0.0,407.0,0.467,5.8,0.988,0.544,0.237,0.095,0.112,0.012,0.473,0.565,0.5,0.25,0.158,0.0,0.519,0.059,9.0,0.0,,2.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,19.0,0.0,247.0,0.449,4.6,0.987,0.603,0.269,0.038,0.077,0.013,0.455,0.596,0.19,0.667,0.167,0.0,0.543,0.205,13.0,1.0,0.0,0.0,0.0,
