"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Dion Waiters,,2.1,1.6,1.6,1.2,1.1,0.9,0.1,0.1,
Alonzo Gee,83.8,2.4,1.9,1.9,1.2,1.0,0.9,0.4,-0.1,
Mike Evans,81.3,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2
Jordan McLaughlin,80.8,2.5,2.3,1.6,1.3,1.2,0.6,,,
Shelvin Mack,80.4,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,
David Nwaba,80.2,2.4,1.4,1.3,1.3,0.8,0.8,,,
Elston Turner,79.2,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,
Aaron Holiday,78.9,2.5,2.1,2.0,1.5,0.9,0.9,0.2,,
Lee Mayberry,78.1,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,,
Will Bynum,77.1,1.9,1.7,1.5,1.3,1.0,-0.1,-0.2,-0.2,
Ledell Eackles,77.0,2.4,2.1,2.0,1.2,1.0,1.0,1.0,,
