Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2014-15,20,MIL,NBA,SG,6.0,6.0,201.0,10.9,0.425,0.014,0.324,5.8,17.3,11.1,14.3,0.8,4.0,11.9,20.6,-0.2,0.2,0.0,-0.003,-2.6,0.3,-2.3,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,22,MIL,NBA,SF,6.0,6.0,243.0,21.9,0.563,0.089,0.411,4.6,25.1,14.1,20.6,2.8,4.0,13.1,29.9,0.1,0.6,0.7,0.138,3.8,2.8,6.6,0.5,
2017-18,23,MIL,NBA,PF,7.0,7.0,280.0,26.6,0.62,0.116,0.455,3.7,23.5,14.3,28.2,1.9,1.9,10.5,28.2,1.0,0.4,1.4,0.239,5.6,1.4,7.1,0.6,
2018-19,24,MIL,NBA,PF,15.0,15.0,514.0,26.6,0.572,0.211,0.644,7.3,27.7,17.9,25.1,1.7,5.3,13.0,32.2,1.2,1.2,2.4,0.226,5.0,3.4,8.3,1.4,
2019-20,25,MIL,NBA,PF,9.0,9.0,277.0,31.3,0.61,0.248,0.503,10.3,38.2,24.0,36.7,1.0,3.1,13.2,35.2,0.9,0.5,1.4,0.238,7.8,3.4,11.2,0.9,
2020-21,26,MIL,NBA,PF,21.0,21.0,800.0,27.6,0.599,0.159,0.469,7.8,28.7,18.0,24.3,1.3,2.9,10.8,31.8,2.0,1.7,3.7,0.224,6.7,3.2,9.9,2.4,Finals MVP-1
2021-22,27,MIL,NBA,PF,12.0,12.0,448.0,26.8,0.552,0.144,0.47,6.2,31.8,19.4,36.9,0.9,3.4,13.6,38.5,0.6,1.1,1.7,0.178,6.5,4.0,10.4,1.4,
2022-23,28,MIL,NBA,PF,3.0,3.0,91.0,18.8,0.525,0.057,0.585,9.5,32.4,20.4,29.8,0.5,1.9,17.4,37.3,-0.1,0.1,0.0,-0.026,1.3,0.6,2.0,0.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,30,MIL,NBA,PF,5.0,5.0,188.0,33.2,0.651,0.051,0.636,11.0,38.0,23.6,35.6,1.3,2.6,15.4,35.3,0.8,0.1,0.9,0.232,8.2,3.2,11.4,0.6,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,84.0,84.0,3042.0,26.1,0.58,0.149,0.504,7.2,29.0,18.1,27.7,1.4,3.4,12.6,32.3,6.3,5.8,12.1,0.192,5.5,2.9,8.4,8.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2970.0,26.1,0.58,0.149,0.504,7.2,29.0,18.1,27.7,1.4,3.4,12.6,32.3,6.2,5.7,11.9,0.192,5.5,2.9,8.4,7.8,
