"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2013-14,22,PHI,NBA,PG,70,70,2414,.405,10.6,.803,.340,.248,.083,.132,.197,.440,.553,.345,.364,.374,.264,.255,.655,.029,29,.087,.389,1,0,ROY-1
2014-15,23,2TM,NBA,PG,66,63,2149,.396,9.7,.834,.333,.229,.096,.176,.166,.428,.588,.338,.420,.247,.235,.204,.917,.032,27,.124,.211,2,0,
2014-15,23,PHI,NBA,PG,41,38,1391,.380,11.0,.795,.311,.223,.079,.183,.205,.412,.626,.294,.313,.232,.256,.210,.906,.025,15,.088,.182,1,0,
2014-15,23,MIL,NBA,PG,25,25,758,.429,8.4,.909,.377,.240,.130,.162,.091,.457,.526,.419,.550,.280,.143,.195,1.000,.045,12,.286,.250,1,0,
2015-16,24,MIL,NBA,PG,54,37,1649,.452,8.6,.901,.351,.270,.135,.144,.099,.472,.569,.460,.347,.375,.273,.360,.733,.050,24,.255,.357,1,0,
2016-17,25,CHI,NBA,PG,45,19,846,.366,11.1,.791,.265,.294,.144,.088,.209,.401,.519,.378,.295,.296,.234,.423,.933,.020,6,.406,.308,0,0,
2017-18,26,CHO,NBA,PG,52,2,835,.332,11.3,.742,.314,.214,.100,.114,.258,.365,.556,.224,.217,.231,.237,.339,.857,.035,8,.373,.227,0,0,
2018-19,27,2TM,NBA,PG,28,1,372,.374,11.1,.691,.301,.325,.057,.008,.309,.424,.541,.350,.286,.000,.263,.250,.800,.024,3,.342,.385,0,0,
2018-19,27,HOU,NBA,PG,16,1,145,.410,11.0,.689,.311,.311,.066,.000,.311,.429,.526,.421,.000,,.368,.333,.714,.033,2,.421,.250,0,0,
2018-19,27,ORL,NBA,PG,12,0,227,.339,11.1,.694,.290,.339,.048,.016,.306,.419,.556,.286,.667,.000,.158,.167,1.000,.016,1,.263,.600,0,0,
